Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
5,5.036921e-8,"Lorentzian(bT, 0.7411087) * -0.01812592"
7,4.7862493e-8,"(bL * -0.012780299) * PowerLaw(bL, 4.09683e-15)"
8,4.4232202e-8,"(Lorentzian(bT, -0.3229251) * -0.06282525) * gaussian(bL)"
9,9.170825e-9,"(Lorentzian(bT, 0.49514085) * Lorentzian(bL, 3.7949681)) * -0.24986053"
10,7.264439e-9,"(Lorentzian(bT, 0.6145736) * -0.06510293) * gaussian(bL * 0.36249757)"
12,7.2615007e-9,"(gaussian(bL * 0.35735828) * (Lorentzian(bT, 0.6138305) * -0.05034951)) * 1.2826219"
14,7.260854e-9,"((gaussian(bL * 0.3575416) * 0.5148783) * (Lorentzian(bT, 0.6138109) * -0.117225945)) * 1.0680288"
17,6.50121e-9,"bT * ((PowerLaw(bT, PowerLaw(bT, 0.25415456)) * -0.1248873) * Lorentzian((bL * bL) * 0.25415456, 2.099117))"
19,6.1917094e-9,"(Lorentzian(gaussian(gaussian(bL * 0.27341464)) * bL, 2.098897) * bT) * (PowerLaw(bT, PowerLaw(bT, bT)) * -0.12649217)"
20,5.6425344e-9,"((PowerLaw(bT, bT * gaussian(PowerLaw(bL, 0.13478759))) * -0.12811889) * Lorentzian((bL * bL) * 0.251468, 2.099088)) * bT"
22,4.907622e-9,"bT * ((Lorentzian((bL * 0.2536212) * bL, 2.099264) * -0.1229662) * PowerLaw(bT, Lorentzian(-0.34649792, bT) * gaussian(PowerLaw(bL, 0.009263543))))"
23,4.891342e-9,"(PowerLaw(bT, gaussian(PowerLaw(bL, -0.010014409)) * Lorentzian(gaussian(bT), bT)) * (bT * Lorentzian((bL * bL) * 0.253258, 2.0993))) * -0.12273711"
24,4.713152e-9,"(bT * (PowerLaw(bT, gaussian(PowerLaw(bL, 0.00816564)) * Lorentzian(0.3770772, bT)) * Lorentzian(gaussian(gaussian(bL * 0.24623151)) * bL, 2.099117))) * -0.1248873"
25,4.700651e-9,"bT * (PowerLaw(bT, gaussian(PowerLaw(bL, 0.00816564)) * Lorentzian(gaussian(bT), bT)) * (Lorentzian(bL * gaussian(gaussian(bL * 0.24010712)), 2.099117) * -0.1248873))"
26,4.669297e-9,"(bT * PowerLaw(bT, gaussian(PowerLaw(bL, 0.00816564)) * Lorentzian(Lorentzian(bL, 0.7430419), bT))) * (Lorentzian(gaussian(gaussian(bL * 0.24623151)) * bL, 2.099117) * -0.1248873)"
