Complexity,Loss,Equation
1,4.5997085e-6,"-0.0010570863"
5,4.5933393e-6,"(bT * -1.574269e-5) + -0.0010588529"
7,3.3433264e-6,"((bT * bT) ^ -0.8291124) * -0.011108252"
9,3.3238723e-6,"-0.021296762 * ((1.001446 + (bT * bT)) ^ -1.0548335)"
11,5.5507155e-7,"(((bL * bL) + (bT * bT)) ^ -1.277434) * -0.101041995"
13,2.661506e-7,"(((bT * bT) + ((bL * bL) + 3.2472353)) ^ -1.9713458) * -1.0134726"
15,2.4883866e-7,"(((((bL * 0.84274185) * bL) + 2.7841477) + (bT * bT)) ^ -1.9164418) * -0.7557563"
17,2.3662706e-7,"(((((bT * bT) + 1.5645152) + ((bL * bL) * 0.8597879)) ^ -1.5314643) + -0.0015090683) * -0.26933426"
19,2.3633524e-7,"((((((bL * bL) * 0.8597879) + 1.5645152) + (bT * (bT + 0.016804181))) ^ -1.5314643) + -0.0015086832) * -0.2693343"
21,2.164864e-7,"((((bL * ((((bT * bT) * 0.052046694) + 0.70153916) * bL)) + 1.535562) + (bT * bT)) ^ -1.5575973) * -0.27083135"
23,2.0336573e-7,"((((((bL * ((bT * (bT * 0.047502704)) + 0.7084364)) * bL) + (bT * bT)) + 0.94309276) ^ -1.3168762) * -0.15366758) + 0.0003834068"
25,1.8764847e-7,"(((bT * bT) + ((bL * ((((bT * 0.05378045) * ((-0.8378508 ^ bT) + bT)) + 0.7017185) * bL)) + 1.5355487)) ^ -1.5588379) * -0.26933607"
27,1.742604e-7,"(((((bT * bT) + 0.939373) + (bL * (((bT * (((-0.83786905 ^ bT) + bT) * 0.05269472)) + 0.68999493) * bL))) ^ -1.3224927) + -0.0023866382) * -0.15368862"
29,1.6834444e-7,"((((bT * bT) + ((bL * (bL * ((((bT + -0.57098746) * ((-0.8378495 ^ bT) + bT)) * 0.052782606) + 0.6899791))) + 0.9393555)) ^ -1.3224338) + -0.0024396481) * -0.15378237"
