Complexity,Loss,Equation
1,6.969255e-8,"-0.0010571033"
5,5.036922e-8,"Lorentzian(bT, 0.74141586) * -0.018139072"
7,4.7862493e-8,"(bL * PowerLaw(bL, -1.0173763e-5)) * -0.012781038"
8,4.4232266e-8,"(gaussian(bL) * Lorentzian(bT, -0.30949154)) * -0.063126005"
9,9.1807255e-9,"(Lorentzian(bL, 3.4043908) * Lorentzian(bT, 0.3293373)) * -0.22042547"
10,7.3130653e-9,"(gaussian(bL * 0.35190853) * -0.064648286) * Lorentzian(bT, 0.67689604)"
14,6.2753718e-9,"bT * ((gaussian(bL * 0.36162278) * PowerLaw(bT, PowerLaw(bT, bT))) * -0.060834825)"
16,6.008943e-9,"(PowerLaw(bT, PowerLaw(PowerLaw(bL, 0.49045533), bT)) * (gaussian(bL * 0.3401597) * -0.05892562)) * bT"
17,5.5162293e-9,"gaussian(bL * 0.34014338) * (bT * (PowerLaw(bT, PowerLaw(gaussian(bL) * -7.814354, bT)) * -0.05935207))"
18,4.92863e-9,"(bT * PowerLaw(bT, PowerLaw(Lorentzian(bL, -0.06028837) * bT, bT))) * (-0.06028837 * gaussian(bL * 0.33965978))"
19,4.7277084e-9,"(bT * (gaussian(bL * 0.3401614) * PowerLaw(bT, gaussian(Lorentzian(bL, -0.08954882)) * PowerLaw(bT, 0.1637207)))) * -0.059064154"
21,4.6907225e-9,"((bT * gaussian(bL * 0.3401614)) * PowerLaw(bT, gaussian(Lorentzian(bL, -0.08954882)) * PowerLaw(bT, Lorentzian(bL, 0.7897223)))) * -0.059064154"
24,4.5193143e-9,"PowerLaw(bT, PowerLaw(bT, PowerLaw(Lorentzian(bL, -2.5262556), bL * bL) * (bT * 0.99197847))) * (gaussian(bL * 0.34014338) * (bT * -0.05935207))"
26,4.485215e-9,"(PowerLaw(bT, PowerLaw(bT, bT * (PowerLaw(Lorentzian(bL * 0.83656085, -2.5262475), bL * bL) * 0.99191576))) * -0.059473798) * (gaussian(bL * 0.3401417) * bT)"
28,4.4656012e-9,"gaussian(bL * 0.34014338) * ((-0.05935207 * bT) * PowerLaw(bT * 0.99197847, PowerLaw(bT, (PowerLaw(Lorentzian(bL * 0.8221226, -2.5262556), bL * bL) * bT) * 0.99197847)))"
29,4.4341046e-9,"PowerLaw(bT, PowerLaw(bT, PowerLaw(Lorentzian(gaussian(PowerLaw(-0.89937896, bT)) * bL, -2.5262475), bL * bL) * (bT * 0.9919155))) * ((bT * -0.05947444) * gaussian(bL * 0.3401417))"
