Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
3,6.968013e-8,"PowerLaw(-9.797192, bT)"
5,5.0369007e-8,"Lorentzian(bT, 0.7553481) * -0.018195657"
7,4.7862496e-8,"(bL * PowerLaw(bL, 0.00041223294)) * -0.0127816"
8,4.4279968e-8,"gaussian(bL) * (Lorentzian(bT, -0.26430166) * -0.06458835)"
9,9.251614e-9,"Lorentzian(bT, 0.62398064) * (Lorentzian(bL, 3.821181) * -0.26015496)"
10,7.2646467e-9,"gaussian(bL * -0.36157843) * (Lorentzian(bT, 0.52611446) * -0.063372344)"
13,6.4851386e-9,"-0.06008765 * (Lorentzian(bT, 0.011943271) * gaussian(gaussian(gaussian(gaussian(bT))) * bL))"
16,6.4623324e-9,"(Lorentzian(bL, 3.1306016) * PowerLaw(bT, bT)) * ((gaussian(bT * -0.13743661) * -0.28802747) * bT)"
18,5.777468e-9,"Lorentzian(bL, 3.1320684) * (PowerLaw(bT, PowerLaw(bT, 0.16500746)) * ((bT * gaussian(bT * 0.13511816)) * -0.26101017))"
20,5.6656595e-9,"(gaussian(bT * 0.13511816) * ((Lorentzian(bL, 3.1320684) * -0.26101017) * PowerLaw(bT, PowerLaw(bT, 0.19597398) * 0.8559968))) * bT"
23,5.1355045e-9,"((bT * (gaussian(bT * 0.1384109) * Lorentzian(bL, 3.4560595))) * PowerLaw(bT, PowerLaw(bT, bT * gaussian(bL * 0.4878227)))) * -0.27221283"
24,4.588333e-9,"(bT * (PowerLaw(bT, bL * (bT * (bL * 0.1949704))) * (gaussian(bT * -0.11070694) * -0.3601881))) * (Lorentzian(bL, 5.887482) * 1.0919567)"
30,4.371963e-9,"PowerLaw(bT, PowerLaw(bT, gaussian(bL * -0.50889826) * bT)) * (((Lorentzian(bL * 1.1064016, 3.4560595) * (bT * -0.23255298)) * gaussian(bT * (gaussian(bL) * -0.1560093))) * 1.1705412)"
