Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
5,5.0369135e-8,"Lorentzian(bT, 0.7628482) * -0.018228445"
8,4.4231278e-8,"(Lorentzian(bT, -0.31904018) * gaussian(bL)) * -0.06279607"
9,9.08562e-9,"Lorentzian(bT, 0.4312027) * (Lorentzian(bL, 3.2141602) * -0.21929783)"
10,7.2701596e-9,"Lorentzian(bT, 0.5763652) * (gaussian(bL * -0.3666343) * -0.06507823)"
14,7.124693e-9,"(Lorentzian(bT, 0.6841149) * -0.063992284) * gaussian((gaussian(gaussian(bL)) * bL) * -0.34772545)"
15,5.060356e-9,"Lorentzian(bT, 1.2015302) * ((gaussian(bT * -0.15683897) * -0.09112295) * gaussian(bL * -0.3695011))"
17,5.0348357e-9,"Lorentzian(bT, 1.2015302) * (gaussian((bT * -0.9742756) * -0.15683897) * (gaussian(bL * -0.3695011) * -0.09112295))"
18,4.777425e-9,"(Lorentzian(bT, 1.4188162) * (gaussian(bL * -0.37566906) * -0.09777187)) * gaussian(gaussian(Lorentzian(-0.56601083, bT) * -2.242814))"
20,4.7587805e-9,"((gaussian(bL * -0.37566906) * -0.09777187) * Lorentzian(bT, 1.4188162)) * gaussian(gaussian(Lorentzian(Lorentzian(0.161209, -2.3645127), bT) * -2.242814))"
21,4.7237725e-9,"gaussian(bL * -0.38956568) * ((gaussian(gaussian(bL) * gaussian(Lorentzian(0.47931364, bT) * -2.5470543)) * Lorentzian(bT, 1.2008767)) * -0.087436736)"
22,4.662548e-9,"gaussian(bL * 0.3491397) * ((Lorentzian(bT, 1.4189427) * -0.09414295) * gaussian(gaussian(Lorentzian((0.07149241 * 2.4117818) * bT, bT) * 2.4117818)))"
23,4.4390953e-9,"(gaussian(bL * 0.3963921) * gaussian(gaussian(Lorentzian(-0.56601083, bT) * -2.242814) * gaussian(bL * -0.2507182))) * (Lorentzian(bT, 1.4188162) * -0.09777187)"
24,4.435289e-9,"(gaussian(bL * 0.3963921) * gaussian(gaussian(Lorentzian(gaussian(0.8832442), bT) * -2.242814) * gaussian(bL * -0.2507182))) * (Lorentzian(bT, 1.4188162) * -0.09777187)"
25,4.273116e-9,"gaussian(bL * -0.38897157) * ((gaussian(gaussian(bL * Lorentzian(0.21768819, bT)) * gaussian(Lorentzian(0.47929403, bT) * -2.5470862)) * Lorentzian(bT, 1.2008723)) * -0.0901992)"
26,4.2724895e-9,"gaussian(bL * -0.38897157) * ((gaussian(gaussian(bL * Lorentzian(gaussian(-1.8143377), bT)) * gaussian(Lorentzian(0.47929403, bT) * -2.5470862)) * Lorentzian(bT, 1.2008723)) * -0.0901992)"
28,4.184431e-9,"(gaussian((gaussian(bL * -0.30652803) * gaussian(Lorentzian(bT * -0.66766167, -1.2460084))) * gaussian(Lorentzian(-1.3896934, bT))) * (gaussian(bL * -0.38798764) * -0.090387546)) * Lorentzian(bT, 1.2008684)"
30,3.93858e-9,"Lorentzian(bT, 1.2008684) * ((gaussian(bL * -0.38798764) * -0.090387546) * gaussian((gaussian(Lorentzian(-1.0598035, bT) * 1.9411986) * gaussian(bL * -0.30652803)) * gaussian(Lorentzian(bT * 0.6842366, -1.2460084))))"
