Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
4,5.2984074e-8,"sech(bT) * -0.016150527"
5,5.0369017e-8,"Lorentzian(bT, 0.7525863) * -0.018171791"
7,1.2385107e-8,"sech(bL) * (sech(bT) * -0.09129189)"
8,7.6841e-9,"(Lorentzian(bL, 2.7428503) * -0.21160011) * sech(bT)"
9,6.8157013e-9,"sech(bL * -0.6931239) * (sech(bT) * -0.072876334)"
10,6.750486e-9,"sech(bT * 0.8615707) * (-0.18372677 * Lorentzian(bL, 3.2831063))"
11,5.5300435e-9,"(sech(bL * 0.6480659) * -0.05290104) * sech(bT * 0.853934)"
19,5.161512e-9,"(sech(-0.6530948 * bL) * (-0.042858467 * ((bT * Lorentzian(bT, -0.21167363)) * bT))) * sech(bT * -0.78781533)"
21,5.161493e-9,"(-0.042858467 * (((bT * Lorentzian(bT, -0.21167363)) * bT) * sech((-0.99983275 * bT) * -0.78781533))) * sech(bL * -0.6530948)"
24,5.1370197e-9,"((((bT * Lorentzian(bT, -0.20955613)) * sech(bT * 0.7881638)) * bT) * sech(bL * 0.64846003)) * (sech(bL * -0.094726264) * -0.04296833)"
26,5.1347335e-9,"(((((bT * Lorentzian(bT, -0.20955613)) * sech(bT * 0.7881638)) * bT) * sech(bL * 0.64846003)) * (sech(bL * -0.094726264) * -0.04296833)) * 1.0060177"
