Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
5,6.644967e-8,"PowerLaw(bL, -1.126322) * 0.0019721596"
7,4.7862493e-8,"PowerLaw(bL, 5.504068e-6) * (bL * -0.012779609)"
9,4.7230074e-8,"(bL * PowerLaw(bL, PowerLaw(bT, bT))) * -0.012656388"
11,1.6841874e-8,"(bT * PowerLaw(bT, (bT * bL) * bL)) * -0.052322377"
13,1.0080612e-8,"PowerLaw(bL * bL, 177.45433) * ((PowerLaw(bT, bT) * -11.295126) * bT)"
15,9.275264e-9,"bT * ((PowerLaw(bL * bL, 134.66199) * -7.356944) * PowerLaw(bT, PowerLaw(bT, bT)))"
17,8.946991e-9,"PowerLaw(bT, PowerLaw(bT, 0.1598529)) * (PowerLaw((bL * -0.7269884) * bL, -120.8777) * (bT * 6.459503))"
19,7.545175e-9,"(bT * (PowerLaw(bT, PowerLaw(PowerLaw(bL, -0.63294756), bT)) * PowerLaw(bL * (bL * -0.63294756), -120.87769))) * 6.1491036"
21,6.9016117e-9,"PowerLaw((bL * bL) * -0.6590587, -120.8777) * ((bT * PowerLaw(bT, PowerLaw(PowerLaw(bL, bT * -0.3728825), bT))) * 6.1276703)"
23,6.371241e-9,"PowerLaw((bL * bL) * -0.6590587, -120.8777) * ((bT * PowerLaw(bT, PowerLaw(PowerLaw(bL * bL, bT * -0.3728825), bT))) * 6.1276703)"
25,5.9510454e-9,"PowerLaw((bL * bL) * -0.6590587, -120.8777) * ((bT * PowerLaw(bT, PowerLaw(PowerLaw(bL * (bL * bT), bT * -0.3728825), bT))) * 6.1276703)"
27,4.720894e-9,"((bT * PowerLaw((bL * -0.565724) * bL, -139.10095)) * PowerLaw(bT, PowerLaw(PowerLaw(bL * (bL * PowerLaw(bT, 0.060636304)), bT * -0.37380645), bT))) * 5.9983897"
29,4.701341e-9,"PowerLaw(bT, PowerLaw(PowerLaw(bL * (PowerLaw(bT, 0.0606498) * bL), bT * -0.37449136), bT)) * ((bT * 6.1490293) * (PowerLaw(bL * (bL * -0.5657294), -139.10095) * 0.9755024))"
