Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
5,6.962191e-8,"(1.0102777 ^ bT) * -0.0010576624"
7,5.036963e-8,"PowerLaw(bT * bT, 0.73332816) * -0.018066796"
9,1.6841874e-8,"PowerLaw(bL * bL, bT * bT) * -0.05232238"
11,8.411161e-9,"(PowerLaw(bL * bL, bT * bT) ^ 1.2802163) * -0.101552576"
13,7.856652e-9,"(PowerLaw(bT * bT, bL * (bL * 0.7731295)) ^ 1.281924) * -0.09344756"
19,6.9797985e-9,"PowerLaw((bT * bT) * 1.2828213, (bL * bL) * (1.1701721 ^ ((bT * bT) * 0.59999704))) * -0.07975954"
21,6.976096e-9,"PowerLaw(bT * (bT * 1.2828213), (((bL * bL) ^ 1.120295) * (1.1701721 ^ (bT * bT))) * 0.59999704) * -0.07975954"
23,5.921579e-9,"(PowerLaw((bT * bL) * (bL * 0.15395683), bT) * PowerLaw((bL * (bL * 0.4396488)) * PowerLaw(bT, bT), bT)) * -0.060554996"
29,5.86294e-9,"PowerLaw((bL * bL) * ((PowerLaw(bT, bT) * 0.33393368) * ((bL * bL) ^ 0.24500975)), bT) * (PowerLaw(bT, (bT * (bL * bL)) * 0.12606978) * -0.05867229)"
