Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
3,6.967968e-8,"PowerLaw(bT, -945.5399)"
5,6.557753e-8,"PowerLaw(-0.037786543 ^ bL, -945.5399)"
7,5.037034e-8,"PowerLaw(-40.258118, (bT * bT) * -55.52769)"
9,4.627267e-8,"PowerLaw(PowerLaw(0.0038297307, bL), bT * (bT * -78.541954))"
11,1.6841751e-8,"PowerLaw((bT * bT) * -19.159775, (bL * bL) * -19.009998)"
13,1.1769081e-8,"PowerLaw((2.2506545 ^ (bL * bL)) * -1.8140548, bT * (bT * -19.697231))"
15,8.678822e-9,"PowerLaw(bT * (bT * -19.67657), ((bL * bL) * (bL * -2.6259375)) * bL)"
17,8.4910425e-9,"PowerLaw((bT * bT) * -19.683577, ((((bL * bL) ^ 1.221212) * bL) * bL) * -1.7640857)"
19,6.550349e-9,"((PowerLaw(PowerLaw(0.14236975, bT), bT) * PowerLaw(bL * ((bT * 0.2459458) * bL), bT)) ^ 1.2010977) * -0.11694827"
23,5.901546e-9,"PowerLaw((bL * bL) * (PowerLaw(bT, 0.08082968) * 0.21523894), bT) * (PowerLaw(bT, bL * ((bL * 0.15318641) * bT)) * -0.060328957)"
25,5.4091376e-9,"((PowerLaw((PowerLaw(0.092315786, bT) * (bL * 0.22857182)) * bL, bT) * PowerLaw(bT, ((bT * bL) * 0.1654986) * bL)) ^ 1.0607224) * -0.069859765"
27,4.9097904e-9,"PowerLaw(PowerLaw(bT, (-0.50489813 ^ bT) * -0.16666596) * (bL * (bL * 0.23254721)), bT) * (PowerLaw(bT, (bL * (bL * bT)) * 0.14205487) * -0.060343508)"
