Complexity,Loss,Equation
1,12.747201,"-0.0010570992"
3,12.744846,"Lorentzian(bT, -945.26434)"
5,11.972318,"Lorentzian(-0.03962501 ^ bL, -945.26434)"
7,9.212805,"Lorentzian(bT * bT, 0.7519394) * -0.018174732"
9,9.212804,"Lorentzian(bT * (bT * 1.4916611), 1.1228112) * -0.027119981"
13,3.4914477,"(Lorentzian(bL * (bT * bL), bT) * Lorentzian(-0.024459666, bT)) * -0.077034116"
15,1.9489121,"Lorentzian(bT * ((bL * bL) * 0.3730021), bT) * (Lorentzian(bT, -0.013506035) * -0.06056906)"
17,1.6616051,"(Lorentzian(Lorentzian(bT, bT), bT) * Lorentzian(((bL * bT) * 0.291734) * bL, bT)) * -0.06822547"
19,1.4233483,"Lorentzian((bL * bT) * (bL * 0.34971443), bT) * (Lorentzian(Lorentzian(1.7256925, bT) * -0.18003237, bT) * -0.05611101)"
21,1.3419589,"Lorentzian(Lorentzian(bT, bT), bT) * (Lorentzian(bT, -0.023157824) * Lorentzian((bL * bL) * ((bL * bL) * -0.60319275), -16.503529))"
23,1.0789887,"Lorentzian(Lorentzian(bT * 4.48386, 0.39633897) * (bL * bL), bT) * (Lorentzian(bT, bT) * Lorentzian((bL * bL) * -1.2569667, -8.260694))"
27,1.0352005,"Lorentzian(bL * (bL * (Lorentzian(bT, 0.14835268) * 0.2967276)), bT) * (Lorentzian(bT, bT) * Lorentzian(((bL * (bL * bL)) * bL) * -0.12618157, -8.915281))"
29,1.0102723,"Lorentzian(((bL * bL) ^ 0.5900021) * Lorentzian(bT, bT), bT) * ((Lorentzian(-0.028779855, bT) * 2.034555) * Lorentzian((bL * bL) * (bL * (bL * -0.6243506)), -34.914223))"
