Complexity,Loss,Equation
1,12.747201,"-0.0010570874"
3,12.744846,"PowerLaw(-945.25366, bT)"
5,11.619128,"PowerLaw(635.24554 ^ bL, -694.8838)"
7,9.212806,"PowerLaw(bT * (bT * -54.981625), -41.478867)"
9,9.212804,"PowerLaw((bT * bT) * -38.224506, -28.772728) * 0.6949692"
13,3.4914477,"PowerLaw(bT * (bL * bL), bT) * (PowerLaw(-0.024467312, bT) * -0.07703247)"
15,1.9489121,"PowerLaw((bL * (bL * 0.37300587)) * bT, bT) * (PowerLaw(-0.013550464, bT) * -0.060568143)"
17,1.6616052,"PowerLaw(PowerLaw(bT, bT), bT) * (PowerLaw(bL * ((bT * 0.29171783) * bL), bT) * -0.06822652)"
19,1.4233413,"(PowerLaw(((bL * bL) * 0.349559) * bT, bT) * -0.05609376) * PowerLaw(PowerLaw(bT, 1.7273453) * -0.17910697, bT)"
21,1.320054,"PowerLaw(PowerLaw(bT, bT) * (bL * bL), bT) * (PowerLaw(((bL * bL) * bT) * 0.10165959, bT) * -0.063153446)"
23,1.0789887,"PowerLaw(((PowerLaw(0.08862344, bT) * bL) * bL) * 0.22284888, bT) * (PowerLaw(bT * (bL * (bL * 0.15229894)), bT) * -0.060533244)"
25,1.0645984,"PowerLaw(PowerLaw(-1.6882228, bT) * (bT * (PowerLaw(bT, 1.725347) * -0.36034474)), bT) * (PowerLaw(((bT * bL) * 0.3221162) * bL, bT) * -0.052459843)"
27,0.88101864,"(PowerLaw(((PowerLaw((-0.51266235 ^ bT) * -0.18862, bT) * bL) * bL) * 0.21027842, bT) * PowerLaw((bL * (bT * bL)) * 0.14325564, bT)) * -0.060307268"
29,0.8338376,"(PowerLaw(((bL * 0.15437922) * bL) * bT, bT) * -0.0602493) * PowerLaw(bL * ((bL * PowerLaw((-0.83341706 ^ bT) * (bT * 0.4208271), bT)) * 0.14459206), bT)"
