Complexity,Loss,Equation
1,12.747201,"-0.0010570874"
5,12.734255,"(1.0105907 ^ bT) * -0.001059374"
7,9.212804,"PowerLaw(bT * bT, 0.7530623) * -0.018182553"
9,9.211163,"PowerLaw((bT * bT) ^ 1.029877, 0.8938627) * -0.019583754"
11,9.211001,"PowerLaw(((bT * bT) ^ 1.0427842) * 2.7714534, 2.684444) * -0.056167476"
13,1.6591024,"(PowerLaw(bL * bL, 3.3657084) * -0.2274483) * PowerLaw(bT * bT, 0.4479615)"
15,1.0348064,"PowerLaw(bL * bL, 3.021971) * (PowerLaw((bT * bT) ^ 1.4794592, 4.038763) * -0.69215465)"
17,0.8173217,"PowerLaw((bL * bL) ^ 1.3709708, 6.9816766) * (PowerLaw((bT * bT) ^ 1.4139682, 3.6648712) * -1.3282982)"
19,0.8120036,"((PowerLaw(bL * (bL * 0.12368805), 1.8502853) ^ 2.7566507) * -1.0983158) * PowerLaw((bT * bT) ^ 1.4378744, 3.9129639)"
21,0.8089131,"PowerLaw((bT * bT) ^ 1.4316301, 3.8985662) * ((PowerLaw((bL * (bL * 0.15436666)) ^ 1.0751846, 1.9649929) ^ 2.363577) * -0.9739002)"
23,0.8088148,"(PowerLaw((bT * bT) ^ 1.409511, 3.7162344) * PowerLaw(bL * (((bL * (bL * 0.018246992)) ^ 0.45350018) * bL), 1.4556191)) * -0.26851138"
25,0.7457407,"(PowerLaw((bT * bT) ^ 1.3917574, 2.0971482) * PowerLaw(((((bT * bT) ^ -0.60125583) * bL) * bL) * (bL * bL), 11.188509)) * -1.622586"
27,0.64424175,"PowerLaw((bL * bL) * (((bL * bL) ^ 0.49534255) * ((bT * bT) ^ -0.36577317)), 5.9390707) * (PowerLaw((bT * bT) ^ 1.5141934, 3.8863735) * -1.2649275)"
29,0.5773227,"(PowerLaw(((bT * bT) ^ 1.422243) * 1.7227151, 3.5216959) * -1.0332286) * PowerLaw((bL * ((bL * bL) ^ 0.3881545)) * (((bT * bT) ^ -0.49094006) * bL), 3.6751046)"
