Complexity,Loss,Equation
1,3496.2249,"0.0114907455"
5,2694.0886,"(0.044540375 ^ bT) ^ bT"
7,2124.2446,"PowerLaw(bT * bT, 0.08198802) * 0.05106316"
9,2103.2761,"(PowerLaw(bT * bT, 0.041364975) ^ 0.8154571) * 0.046609312"
11,359.90222,"PowerLaw(bT * bT, 1.0056189) * PowerLaw(bL * bL, 2.4869742)"
13,88.34212,"(PowerLaw(bT * bT, 0.80310816) * PowerLaw(bL * bL, 1.8076197)) ^ 1.1836842"
15,78.11317,"(PowerLaw(bT * bT, 1.1462682) * (PowerLaw(bL * bL, 2.2630477) * 1.7991953)) ^ 1.376882"
17,76.34435,"(PowerLaw((bL * 0.5560985) * bL, 1.4855334) ^ 1.4857115) * (PowerLaw(bT * bT, 0.9121132) ^ 1.2570995)"
19,75.67736,"(PowerLaw((bL * 0.50147694) * bL, 1.4750638) ^ 1.5919284) * ((PowerLaw(bT * bT, 0.9663072) ^ 1.2833833) * 1.0921397)"
23,70.62404,"((PowerLaw(bL * bL, 3.0071876) * ((PowerLaw(bT * bT, 0.012406875) ^ 0.059579935) * 4.326472)) * PowerLaw(bT * bT, 2.5026178)) ^ 1.5952026"
