Complexity,Loss,Equation
1,12.747201,"-0.0010570874"
5,9.518767,"(-0.013408102 / bT) / bT"
7,9.212804,"-0.018183906 / ((bT * bT) + 0.7527179)"
9,3.0804837,"-0.05232238 / ((bL * bL) + (bT * bT))"
11,0.84071434,"(-0.07821341 / ((bT * bT) + (bL * bL))) + 0.0013913778"
13,0.73750573,"-0.9657142 / ((((bT * bT) + (bL * bL)) + 3.1635263) ^ 1.958436)"
15,0.6874547,"-0.9998891 / ((((bL * 0.8351188) * bL) + (3.1549404 + (bT * bT))) ^ 2.0029566)"
17,0.65019083,"(-0.18321182 / (((((bL * bL) * 0.85695696) + (bT * bT)) ^ 1.4324164) + 2.0198715)) + 0.00042881665"
19,0.64893925,"(-0.18300882 / ((((bL * (bL / 1.1644815)) + ((bT + 0.021324854) * bT)) ^ 1.4307796) + 2.0199225)) + 0.00043296604"
25,0.58607084,"((0.1489238 / bT) / ((bT + ((bL * bL) * ((((-0.88042706 ^ bT) + bT) + (11.064047 / bT)) * 0.059735004))) / -0.4797143)) + 0.00091045274"
27,0.5750156,"((0.15182775 / bT) / ((bT + ((bL * 0.05988532) * (bL * (((bT + (-0.85706913 ^ bT)) + (11.10066 / bT)) + -0.42364234)))) / -0.47182578)) + 0.0009179846"
29,0.5724742,"((0.14668696 / (bT + 0.025698656)) / (((((bL * (bT + (((11.05524 / bT) + (-0.8516219 ^ bT)) + -0.59292966))) * bL) * 0.06008598) + bT) / -0.4876299)) + 0.0009147217"
33,0.5663578,"((0.11188693 / bT) / ((((((bL * ((-0.8469907 ^ bT) + (bT + -0.7207538))) * 0.45416695) + ((bL * 4.9860983) / (bT + -0.10038191))) * (bL * 0.13102017)) + bT) / -0.6383899)) + 0.0009235641"
35,0.49912772,"((0.111660354 / bT) / ((bT + ((((((((bT * bL) * -0.10010176) + bL) * 0.48609143) * ((-0.8395454 ^ bT) + bT)) + ((bL * 5.045694) / bT)) * bL) * 0.12991089)) / -0.63961333)) + 0.0009447694"
37,0.4841911,"((0.108728945 / bT) / ((bT + ((((((((bT * -0.13244829) * bL) + bL) * ((-0.85909086 ^ bT) + bT)) * 0.46938092) + (bL * ((5.0192904 / bT) + 0.28807026))) * bL) * 0.13033627)) / -0.6562669)) + 0.00095674227"
39,0.48041463,"((0.111690134 / bT) / ((bT + ((bL * ((((((-0.8681716 ^ bT) + bT) * (((bL * bT) * -0.14771998) + bL)) + bL) * 0.44661966) + ((bL * 5.0519953) / (bT + 0.08111761)))) * 0.13093908)) / -0.6399915)) + 0.0009703471"
41,0.47913498,"((0.111483514 / bT) / ((bT + ((bL * 0.12783733) * ((((((-0.8289681 ^ bT) + (bT * 1.2146482)) * (bL + ((bT * bL) * -0.13847008))) + bL) * 0.41099426) + ((bL * 5.046323) / (bT + 0.07067959))))) / -0.639825)) + 0.0009455894"
45,0.46612626,"((0.11196172 / bT) / ((bT + ((((5.058839 / ((bL * -5.750314) + 0.04916569)) + (((-0.8649992 ^ bT) + bT) * ((bL + ((bT * bL) * -0.14095289)) * 0.46381205))) + (((5.019744 / bT) + 0.46502918) * bL)) * (bL * 0.13093153))) / -0.63753843)) + 0.00095673045"
47,0.44406757,"((0.11208402 / bT) / ((bT + ((((((-0.8726601 ^ bT) + bT) * ((((bT * bL) * -0.15051493) + bL) * 0.43283832)) + ((5.432307 / ((bL * -5.891832) + (bT ^ bL))) + (((4.6201224 / bT) + 0.46847108) * bL))) * bL) * 0.14125153)) / -0.6354886)) + 0.00095351425"
49,0.4418393,"((0.1119191 / bT) / ((((((((4.611038 / bT) + 0.46680197) * bL) + (((bT + (-0.87235916 ^ bT)) * (((bT * ((bL * -0.15060398) + -0.032414716)) + bL) * 0.42977262)) + (5.8043003 / ((bL * -5.8941774) + (bT ^ bL))))) * bL) * 0.14166406) + bT) / -0.6366313)) + 0.00095518056"
