Complexity,Loss,Equation
1,3496.2249,"0.011488848"
5,3494.54,"(bL * -0.00013100877) + 0.011519888"
7,2124.245,"0.05109892 / ((bT * bT) + 0.08195709)"
9,2124.2441,"0.5118887 / (((bT * bT) / 0.09976662) + 0.821234)"
11,249.52759,"0.2899831 / ((bL * bL) + ((bT * bT) + 0.4145766))"
13,7.0497403,"(1.0964069 / (1.4553287 + ((bL * bL) + (bT * bT)))) ^ 1.6443352"
15,1.7637433,"(1.2198937 / (((bT * bT) * 1.1382602) + ((bL * bL) + 1.6028917))) ^ 1.6713922"
17,1.2177721,"0.8030452 / (((((bT * bT) + 0.7772792) + ((bL * 0.8695267) * bL)) ^ 1.5672517) + 0.6049274)"
19,1.0546856,"(0.6772993 / ((((0.5262698 + (bT * bT)) + ((bL * 0.8678644) * bL)) ^ 1.4954213) + 0.69532233)) + -0.0004183448"
21,1.0505326,"(0.654171 / (((((bT * bT) + 0.4723578) + (bL * (bL + (bL * -0.13303298)))) ^ 1.4815117) + 0.71229094)) + -0.00047923857"
27,0.9753454,"0.6949543 / (((((bT * bT) + ((((((bL * bL) * (bL * -0.024792684)) + bL) * -0.1536682) + bL) * bL)) + 0.5734495) ^ 1.5136759) + 0.67542905)"
29,0.9640714,"(0.5865119 / (0.7491925 + (((bT * bT) + (((bL + ((bL + (bT * (-0.06252957 * (bT * bL)))) * -0.14170782)) * bL) + 0.3111704)) ^ 1.4352226))) + -0.00043747306"
31,0.9379339,"(0.6134254 / ((((bT * bT) + (((bL + ((bL + ((((bT * -0.043939684) * bT) * bL) / 0.6761659)) * -0.14019775)) * bL) + 0.3801134)) ^ 1.45266) + 0.73251146)) + -0.0003807632"
33,0.5646098,"0.55179465 / (((((bT * bT) + (bL * (((bL + (bL * ((((bL * bL) * 0.3615458) + (bT * bT)) * -0.09632671))) * -0.18278849) + bL))) + 0.25037274) ^ 1.4128238) + 0.7373084)"
35,0.53489333,"(0.53902215 / (((((bL + ((bL + (((bT * bT) + (bL * (bL * 0.3773699))) * (-0.08677949 * bL))) * -0.17955501)) * bL) + (0.21631779 + (bT * bT))) ^ 1.4012148) + 0.740779)) + -0.00017321286"
37,0.50662357,"(0.53902215 / ((((((bL + ((bL + ((((bL * bL) * 0.3773699) + ((bT + -0.24484266) * bT)) * (bL * -0.08677949))) * -0.17955501)) * bL) + 0.21631779) + (bT * bT)) ^ 1.4012148) + 0.740779)) + -0.00017321286"
41,0.46599236,"(0.80893 / ((((((bL * (bL + ((((((bL * (bL * 0.4388095)) + ((-0.8821206 ^ bT) + (bT * bT))) * bL) * -0.07847045) + bL) * -0.16030344))) + 0.21995327) + (bT * bT)) * 1.3353425) ^ 1.3980821) + 1.1070504)) + -0.00025888393"
43,0.4289461,"(0.752763 / (((((bT * bT) + ((bL * (bL + (((((((bT + -0.3426039) * bT) + (-0.8394565 ^ bT)) + (bL * (bL * 0.4370662))) * (bL * -0.07824916)) + bL) * -0.1604273))) + 0.22348706)) * 1.2646332) ^ 1.400136) + 1.0280944)) + -0.00024747188"
