Complexity,Loss,Equation
1,3496.2249,"0.011490519"
5,2694.0886,"(0.0445477 ^ bT) ^ bT"
7,2124.2534,"0.051150292 / ((bT * bT) + 0.0823393)"
9,2124.2441,"0.10897615 / (((bT * bT) * 2.1346033) + 0.17478125)"
11,249.52759,"0.28998733 / ((bL * bL) + ((bT * bT) + 0.41461864))"
13,7.04921,"1.1598734 / ((((bT * bT) + 1.4528209) + (bL * bL)) ^ 1.6430357)"
15,1.7639546,"(1.2204435 / ((bL * bL) + (((bT * bT) / 0.87868553) + 1.6037054))) ^ 1.6717774"
17,1.2218107,"1.0253637 / (((((bL * bL) + 0.9433004) + (bT * (bT / 0.8701913))) ^ 1.5756932) + 0.7199656)"
19,1.175015,"1.004795 / (((((bT * (bT / 0.8568205)) + 0.902129) + ((bL * bL) ^ 1.0103551)) ^ 1.5594243) + 0.74696344)"
23,1.0904948,"((1.1183639 / (((bL * bL) + (((bT / 0.88107663) * bT) + ((-1.007847 ^ bT) * 0.036110252))) + 1.4560215)) ^ 1.2803187) ^ 1.2634794"
25,0.7184638,"((1.2217157 / ((((((bT * bT) / 0.7889279) ^ 0.9427616) + (bL * bL)) + 1.5426205) + ((-1.000637 ^ bT) * 0.06974511))) ^ 1.2971133) ^ 1.2915555"
27,0.6819292,"((1.2228359 / (((((bT * (bT / 0.764991)) ^ 0.93259007) + (0.09605284 / ((-1.2507559 ^ bT) ^ bT))) + (bL * bL)) + 1.5177867)) ^ 1.3010793) ^ 1.2881318"
29,0.5961453,"((((1.3648205 / (((bL * bL) + 1.4354912) + ((((-1.0057787 ^ bT) * 0.08443643) + ((bT / 0.775356) * bT)) ^ 0.9361245))) ^ 1.2750418) ^ 1.279041) + -0.0004076103) * 0.7610741"
31,0.5470463,"((((1.3404944 / (((((bT / 0.76128095) * bT) ^ 0.93033457) + (bL * bL)) + ((((-0.7829029 ^ bT) ^ bT) * 0.11375088) + 1.4073983))) ^ 1.271604) ^ 1.2771593) + -0.00044397535) * 0.77118844"
41,0.47457758,"((((1.2067305 / (((((bT * (bT / 0.67438287)) ^ 0.8989954) + 0.92916894) + (0.7897837 / ((((bT * bT) / 0.39586216) + (((bL + -0.034274325) * bL) + 1.3882318)) ^ 1.5288028))) + (bL * bL))) ^ 1.2528572) ^ 1.2587032) + -0.00060117344) * 0.80225825"
