Complexity,Loss,Equation
1,12.747201,"-0.0010568041"
4,9.691116,"sech(bT) * -0.016150441"
5,9.212804,"Lorentzian(bT, 0.7531116) * -0.01818292"
7,2.2653134,"sech(bL) * (sech(bT) * -0.09129206)"
8,1.4054643,"(sech(bT) * Lorentzian(bL, 2.747186)) * -0.2117546"
9,1.2466307,"(sech(bT) * sech(bL * 0.69354445)) * -0.07289015"
10,1.2337625,"Lorentzian(bL, 3.1987233) * (sech(bT * 0.8656638) * -0.18151808)"
11,1.0104194,"sech(bT * 0.8464627) * (sech(bL * -0.6506548) * -0.052218728)"
14,0.8493719,"(sech((sech(bT * -0.29632035) * bL) * -0.83444273) * -0.07475196) * sech(bT)"
16,0.8417782,"sech(bL * gaussian(gaussian(gaussian(bT * 0.1965504)) * 1.1930858)) * (sech(bT) * -0.07521638)"
21,0.8150641,"sech(bL * gaussian(gaussian(sech(bT * (gaussian(Lorentzian(1.6916357, bT) * 0.09072808) * 0.43362838))))) * (sech(bT) * -0.075329445)"
23,0.8129803,"sech(bT) * (sech(bL * gaussian(gaussian(sech((gaussian(gaussian(sech(Lorentzian(1.742105, bT) * 0.042873282))) * bT) * 0.49357525)))) * -0.075438395)"
25,0.81294096,"(sech(bL * gaussian(gaussian(sech((bT * 0.4935855) * (gaussian(gaussian(sech(Lorentzian(1.7417325, bT) * 0.04292341))) * 0.9988504))))) * -0.075351395) * sech(bT)"
27,0.80615467,"(sech(bT) * sech(bL * gaussian(gaussian(sech(gaussian(gaussian(gaussian(gaussian((gaussian(Lorentzian(1.6939842, bT)) * bL) * bL)))) * (bT * 0.49813664)))))) * -0.07643153"
30,0.8045333,"sech(bL * gaussian(gaussian(sech((bT * 0.50037235) * gaussian(gaussian(gaussian(gaussian(gaussian(Lorentzian(1.7219212, bT) * sech(bT)) * (bL * -0.6081275))))))))) * (sech(bT) * -0.076731265)"
