Complexity,Loss,Equation
1,12.747201,"-0.0010570874"
5,9.518767,"(-0.013408176 / bT) / bT"
7,9.212804,"-0.018183557 / ((bT * bT) + 0.7532062)"
9,3.0804834,"-0.05232262 / ((bL * bL) + (bT * bT))"
11,0.84071434,"(-0.07821341 / ((bL * bL) + (bT * bT))) + 0.0013913778"
13,0.73750293,"-0.96867085 / ((((bL * bL) + 3.1700337) + (bT * bT)) ^ 1.9591615)"
15,0.68713844,"-0.9151692 / ((((bL * (bL / 1.1976418)) + 3.0200536) + (bT * bT)) ^ 1.9777162)"
17,0.65016794,"(-0.18120712 / ((((bT * bT) + (bL * (bL / 1.1662076))) ^ 1.4268922) + 1.9779648)) + 0.0004376997"
19,0.6485214,"(-0.14238153 / ((((((bL * bL) * 0.8592672) + (bT * bT)) + -0.7251084) ^ 1.3501699) + 2.2248778)) + 0.00049404544"
21,0.6247405,"(-0.17223607 / ((((bL * bL) * -0.5669045) + 1.9773917) + (((bL * bL) + (bT * bT)) ^ 1.4066249))) + 0.00043372647"
23,0.59182066,"(-0.19033363 / (((((-0.49176544 / bT) + ((bT + 0.18764444) * bT)) + ((bL / 1.1556507) * bL)) ^ 1.4460219) + 2.2230556)) + 0.00041497353"
25,0.5855378,"(-0.1074197 / ((bT * (bT / 0.6651816)) + ((((bT * bL) * (((-0.8773265 ^ bT) + bT) * 0.084227026)) + bL) * bL))) + 0.00093220075"
27,0.5664539,"(-0.10772363 / (((((((bT + -0.54906046) * 0.08545498) * bL) * ((-0.87588906 ^ bT) + bT)) + bL) * bL) + ((bT * bT) / 0.6632921))) + 0.000935354"
29,0.52891845,"((-0.10127994 / (((bT / 0.71405846) * (bT + -0.15801316)) + ((bL + (((bT * bL) * (bT + -1.5752785)) * 0.0590897)) * bL))) + 0.0010287075) * (0.9435241 ^ bT)"
31,0.501577,"(-0.10907149 / (((bT * bT) / 0.65518904) + ((bL + ((((bT * (bT * -0.09852795)) + ((-0.7750066 ^ bT) + bT)) * bL) * (bT * 0.09661981))) * bL))) + 0.00094405445"
33,0.4683967,"((-0.106507026 / ((bL * (bL + ((bT * 0.07525471) * ((bT + ((bT * -0.13088956) * bT)) * bL)))) + ((bT * (bT + -0.18217169)) / 0.66710305))) + 0.0009358228) * (0.9438881 ^ bT)"
35,0.42775336,"((0.97665584 ^ bT) * (-0.1087962 / ((bT * (bT / 0.66058165)) + ((bL + ((((((bT * bT) * -0.16346413) + bT) + (-0.7731139 ^ bT)) * (bT * bL)) * 0.093012266)) * bL)))) + 0.0009945378"
37,0.39760426,"(0.951931 ^ bT) * ((-0.10753662 / ((bT * ((bT + -0.16003206) / 0.6582793)) + (bL * (bL + (((-0.7970658 ^ bT) + (bT + ((bT * -0.13724074) * bT))) * ((bL * bT) * 0.0877785)))))) + 0.00093257555)"
39,0.3901984,"(((0.96759796 ^ bT) / ((bL * (((bL * bT) * (((((-0.77500015 ^ bT) + ((bT * -0.20209305) * bT)) + bT) + 0.55253667) * 0.092595026)) + bL)) + ((bT / 0.65133476) * (bT + -0.13593778)))) * -0.10995322) + 0.0010134171"
41,0.3845997,"(((0.96624464 ^ bT) * -0.1136595) / (((((bT * ((-0.7300058 ^ bT) + (bT + (((bT + -1.3933989) * (bT * -0.27742517)) + 0.788753)))) * (bL * 0.07557959)) + bL) * bL) + (((bT + -0.1399189) * bT) / 0.62776494))) + 0.0009893746"
43,0.3799584,"((-0.1069726 / (((bL + (((bL * ((-0.7355761 ^ bT) + (((bT * -0.31553295) * (bT + -1.2685989)) + (1.7287819 + bT)))) * 0.06254185) * (bT + -0.6861442))) * bL) + (((bT + -0.14131267) * bT) / 0.664965))) * (0.96542937 ^ bT)) + 0.000980683"
45,0.37769496,"(((0.9646973 ^ bT) / (((bT * ((bT + -0.1567762) / 0.6697618)) + 0.077951014) + ((bL + ((((bT + -0.69326156) * 0.061002567) * (((-0.7363805 ^ bT) + (bT + ((bT * -0.3238186) * (bT + -1.2718824)))) + 1.8224859)) * bL)) * bL))) * -0.10784429) + 0.0010064285"
47,0.37221438,"(0.9479902 ^ bT) * ((-0.0990228 / (((bT + -0.17523777) * (bT / 0.716082)) + (bL * (bL + (((bT + (0.7574671 ^ bT)) + -2.057242) * (bL * ((((((bT + -1.6482544) * (bT * -0.3305352)) + bT) + (-0.7783865 ^ bT)) + 2.5104227) * 0.07087376))))))) + 0.00096507865)"
49,0.36760572,"(0.94540757 ^ bT) * ((-0.10175828 / ((bT * ((bT + -0.20538986) / 0.7144562)) + ((bL * ((((((0.75040364 ^ bT) + bT) + -2.0116148) * ((((bT * ((bT + -1.6364726) * -0.33694747)) + ((-0.7915432 ^ bT) + 2.5267358)) + bT) * 0.07317136)) * bL) + bL)) + 0.11357466))) + 0.001009914)"
