Complexity,Loss,Equation
1,12.747201,"-0.0010570874"
5,9.518767,"(-0.013408176 / bT) / bT"
7,9.212804,"-0.01818258 / ((bT * bT) + 0.753045)"
9,3.0804834,"-0.05232262 / ((bT * bT) + (bL * bL))"
11,0.84071434,"(-0.07821341 / ((bL * bL) + (bT * bT))) + 0.0013913778"
13,0.73750526,"-0.97891235 / ((((bT * bT) + 3.1875288) + (bL * bL)) ^ 1.9620947)"
15,0.68715006,"-0.9305898 / (((((bL * bL) + 3.6489737) * 0.83484113) + (bT * bT)) ^ 1.9824651)"
17,0.65017754,"(-0.18033737 / (((((bL * 0.8573042) * bL) + (bT * bT)) ^ 1.4249592) + 1.9562806)) + 0.0004399046"
19,0.64893764,"(-0.18348959 / (((((bT + 0.02104043) * bT) + ((bL * 0.8589869) * bL)) ^ 1.4317024) + 2.033387)) + 0.00043199843"
21,0.61358714,"(-1.4179837 / (((bL * (bL * 6.7115607)) ^ 1.1898191) + ((((bL * bL) + 20.626877) * bT) * bT))) + 0.0008386427"
23,0.60399956,"(-1.4472834 / ((((bL * bL) + 20.519152) * ((bT * bT) + 0.113040805)) + ((bL * (bL * 5.9454837)) ^ 1.2234652))) + 0.0008681218"
25,0.5560292,"(-1.0924153 / (((bL * (bL * 4.9279513)) ^ 1.2031318) + (((bT * ((bL * bL) + 16.166216)) + (-0.67188424 ^ bT)) * bT))) + 0.00076580344"
27,0.4965818,"(-0.98398685 / (((bL * (bL * 3.0127218)) ^ 1.3334588) + (((bT * bT) + ((-0.66300374 ^ bT) * -0.2120992)) * ((bL * bL) + 14.983911)))) + 0.00070856605"
29,0.46620682,"(-0.91768 / (((((-0.8193047 ^ bT) + 1.0279875) * -6.639357) + (bT * (bT * ((bL * bL) + 15.738488)))) + (((bL * bL) * 3.5228524) ^ 1.2755454))) + 0.00058621116"
31,0.45798856,"(-1.9779903 / (((bT * (((bL * (((bT * bL) * -0.17374535) + bL)) + 28.810167) + bT)) * (bT + -0.091011964)) + (((bL * 9.108249) * bL) ^ 1.1904658))) + 0.0009470076"
33,0.44610396,"(-2.1156485 / (((-4.1568184 / bT) + (((bL * (bL + (bL * (bT * -0.19269092)))) + (bT + 30.780241)) * (bT * bT))) + (((bL * 9.714658) * bL) ^ 1.1897613))) + 0.000964201"
35,0.4027876,"(-2.1057043 / (((((bL * bL) * 7.5841055) ^ 1.2535219) + ((-0.6651352 ^ bT) * -4.947457)) + ((((bL * ((bL * (bT * -0.2084725)) + bL)) + (bT + 31.324982)) * bT) * bT))) + 0.0009481148"
37,0.36988017,"(-1.790842 / ((((bL * (bL * 6.3104024)) ^ 1.2653414) + ((-0.67256683 ^ bT) * -5.0452867)) + (((bT + -0.115279436) * bT) * ((bL * (((bT * bL) * -0.17715213) + bL)) + (bT + 26.837103))))) + 0.0009062485"
39,0.33166116,"0.00072722195 + (-1.368151 / (((((bL * ((bT * (bL * -0.16480693)) + bL)) + (bT + 23.76403)) * bT) * bT) + ((-9.749451 * ((-0.88513315 ^ bT) + (1.3572423 ^ bT))) + (((bL * bL) * 5.3065176) ^ 1.2609345))))"
41,0.3304946,"(-1.4178141 / ((((bT * bT) * (((bL * (bL + ((bL * -0.17519887) * (bT + -0.9780038)))) + 24.607405) + bT)) + (((1.3333338 ^ bT) + (-0.8827531 ^ bT)) * -10.223721)) + (((bL * bL) * 5.339084) ^ 1.2629927))) + 0.0006959384"
43,0.30906436,"(-1.3421385 / ((((bL * (bL * 5.609547)) ^ 1.2329985) + (bT * (((((bL + (((bT + (-0.8223495 ^ bT)) * bL) * -0.18171899)) * bL) + bT) + 23.129011) * bT))) + (((1.3996885 ^ bT) + (-0.8930271 ^ bT)) * -8.851333))) + 0.0007756995"
45,0.30361557,"(-0.97694016 / (((((-0.88841945 ^ bT) + (1.3105549 ^ bT)) * -6.731252) + (((bL * 4.016882) * bL) ^ 1.2434849)) + ((bT * bT) * ((((bL + ((((-0.7891033 ^ bT) + bT) * bL) * -0.148987)) * bL) + (bT * 0.6437834)) + 16.795736)))) + 0.0006917818"
47,0.30220172,"(-0.9672777 / ((((1.3171558 ^ bT) + (-0.88711655 ^ bT)) * -6.5576954) + ((((bL * bL) * 4.0073824) ^ 1.2406237) + (bT * (bT * ((bL * (bL + (((-0.8229271 ^ bT) + (bT * 0.72673553)) * (bL * -0.2017915)))) + ((bT * 0.634984) + 16.629978))))))) + 0.00069409027"
49,0.27454758,"(-0.94395274 / (((((-0.9258176 ^ bT) + 0.99505657) * -6.6943874) + ((((bT * 0.6799473) + ((bL * (bL + ((bL * -0.20894904) * (((-6.317149 / bT) + bT) + (-0.8040201 ^ bT))))) + 16.161848)) * bT) * (bT + -0.19143806))) + (((bL * bL) * 4.365022) ^ 1.1976587))) + 0.0007041274"
