Complexity,Loss,Equation
1,12.747201,"-0.0010570807"
5,9.518767,"(-0.013408175 / bT) / bT"
7,9.212805,"-0.018177612 / ((bT * bT) + 0.7525071)"
9,3.0804837,"-0.05232238 / ((bT * bT) + (bL * bL))"
11,1.9504892,"((-0.162513 / bT) / ((bL * bL) + 2.6832647)) / bT"
13,0.8407144,"((-0.07821341 / ((bL * (bL / bT)) + bT)) / bT) + 0.0013913786"
15,0.8118252,"((-0.07561625 / (bT + (bL * ((bL * 0.8790899) / bT)))) / bT) + 0.0014084479"
17,0.807783,"((-0.0756609 / (bT + ((bL * bL) * (0.8812589 / (bT + 0.04659345))))) / bT) + 0.0014080092"
19,0.7852031,"((0.07495262 / (bT + (bL * (bL * ((0.88535553 / bT) + -0.024249502))))) * (-1.0102427 / bT)) + 0.0014093224"
21,0.62889546,"(((-2.995984 / ((bT * 2.1187015) + ((bL * bL) / bT))) / ((bL * bL) + 20.886333)) / bT) + 0.0007844019"
23,0.62422353,"(((-2.9882717 / ((bT * 2.1115851) + (bL * (bL / (bT + 0.06308449))))) / ((bL * bL) + 20.89383)) / bT) + 0.00078475074"
25,0.6242196,"(((-2.9882717 / (((bT / 1.000525) * 2.1115851) + (bL * (bL / (bT + 0.06308449))))) / ((bL * bL) + 20.89383)) / bT) + 0.00078475074"
27,0.5668377,"(((-23.424948 / ((bL * (bL / bT)) + (bT * 2.1257696))) / ((bL * bL) + 21.000547)) / ((bT * 7.79976) + (-0.76062757 ^ bT))) + 0.00078423024"
29,0.4941106,"(((0.0034412825 / (2.3500855 + bT)) + ((-11.161917 / ((bT * 2.2345183) + ((bL * bL) / bT))) / ((bL * bL) + 16.895643))) / (bT * 4.437311)) + 0.0006586935"
31,0.49054453,"((((-11.190598 / (((bL * bL) / (bT + 0.18158937)) + (bT * 2.3330126))) / ((bL * bL) + 16.447428)) + ((-0.9845529 ^ bL) * 0.003895826)) / (bT * 4.321267)) + 0.0006949325"
33,0.4601684,"(((-11.154053 / (((-1.1513165 / bT) * (-0.8254689 ^ bT)) + ((bT * 2.7209127) + (((bL * bL) + -1.4004313) / bT)))) / ((bL * bL) + 16.197983)) / (bT * 4.50682)) + 0.0005316573"
35,0.45409352,"(((-11.167075 / ((bT * 2.7444837) + ((-1.1886542 / ((bT * (-1.1682427 ^ bT)) + -0.118924335)) + (((bL * bL) + -1.442627) / bT)))) / ((bL * bL) + 16.159296)) / (bT * 4.4696937)) + 0.00053583144"
37,0.4157558,"(((((-0.9999521 ^ bL) * 0.08368995) + (-11.296973 / (((bT * 2.5729883) + ((bL * bL) / bT)) + (((-0.6580805 ^ bT) * -0.44097894) / bT)))) / ((bL * bL) + 16.394646)) / (bT * 4.0251017)) + 0.0007226965"
39,0.37089473,"((((-11.1203 / ((bT * 2.689994) + ((((bL * bL) + -1.1858705) / bT) + ((-0.83723193 ^ bT) * (-1.0995022 / bT))))) / ((bL * bL) + 16.49863)) + ((-1.0011448 ^ bL) * 0.0033748837)) / (bT * 4.458045)) + 0.00054613047"
41,0.35717732,"((((-0.9997152 ^ bL) * 0.0033689777) + ((-11.12373 / ((((bL * bL) + -1.4310703) / bT) + ((((-0.84692514 ^ bT) * -1.440155) / (bT * 1.2188176)) + (bT * 2.707982)))) / ((bL * bL) + 16.499708))) / (bT * 4.452427)) + 0.00052883814"
