Complexity,Loss,Equation
1,12.747201,"-0.0010571032"
5,9.518767,"(-0.013409086 / bT) / bT"
7,9.212804,"-0.018182358 / ((bT * bT) + 0.75303197)"
9,3.0804837,"-0.05232238 / ((bT * bT) + (bL * bL))"
11,0.8407144,"(-0.078213416 / ((bT * bT) + (bL * bL))) + 0.0013913795"
13,0.73751533,"-0.9759847 / ((((bT * bT) + 3.1764884) + (bL * bL)) ^ 1.9617819)"
15,0.68714577,"-0.9270848 / (((bT * bT) + ((bL * (bL * 0.83547086)) + 3.0394926)) ^ 1.9813308)"
17,0.6855988,"-0.9938482 / ((((bL * (bL * 0.83502895)) + (bT * (0.027860556 + bT))) + 3.1465917) ^ 2.0011053)"
19,0.6502675,"((0.24010964 / ((((bL * bL) + ((bT / 0.8560001) * bT)) ^ 1.4378399) + 2.5880508)) * -0.96511316) + 0.0004210613"
21,0.6501966,"(0.2470448 / ((((((bL * bL) + ((bT * bT) * 1.1670729)) ^ 1.4329423) + 2.8014185) / -0.9260323) + 0.30116752)) + 0.00042781563"
23,0.6004257,"(1.204417 / ((((((bT * bT) * 1.1695365) + 3.0878165) + (bL * bL)) ^ 1.866876) / -0.7328727)) + (-0.00027808748 / (bT + 2.544021))"
25,0.58239484,"(0.25837478 / ((bT + (0.45775208 ^ bT)) + (((((bT * bT) * 1.2912207) + ((bL * bL) + 2.9183357)) ^ 1.6247853) / -1.8998314))) + 0.00040194168"
27,0.5516801,"((bL * ((bL * 0.019915564) / (bT + 2.530362))) + 1.2330289) / (((((bT * (bT * 1.1451923)) + (bL * bL)) + 3.0722857) ^ 1.8832439) / -0.71956044)"
29,0.5263328,"(1.241802 / ((((bL * bL) + (((bT * 1.2225531) * bT) + 3.012751)) ^ 1.8347592) / -0.6822501)) + ((((bL * bL) * bT) / (bT + 2.5770445)) * 4.4428207e-6)"
31,0.484911,"(((((bL * (bT * -0.005813822)) * bL) / (bT + 2.4728575)) + 1.0396188) / (((((bT * bT) * 1.1940829) + ((bL * bL) + 2.291568)) ^ 1.6232408) / -0.4386301)) + 0.00022793023"
33,0.44406316,"(1.232679 / ((((bL * bL) + (1.3124182 * ((bT * bT) + 2.1240146))) ^ 1.7638253) / -0.5888868)) + (-0.00013173942 + ((bL * (1.8459735 + bT)) * (bL * (1.8788794e-5 / (bT + 2.4145987)))))"
37,0.4432164,"((1.232679 / ((((bL * bL) + ((2.1240146 + (bT * bT)) * 1.3124182)) ^ 1.7638253) / -0.5888868)) + -0.00013173942) + ((-1.5559596 + (((bL * 1.8459735) + (bT * bL)) * bL)) * (1.8788794e-5 / (2.4145987 + bT)))"
39,0.4320149,"((bL * (((bT * (bL * (0.12556392 / (bT + 2.5942888)))) + ((bL * 0.25965846) / (bT + 2.652694))) * -0.22573206)) + 1.0936801) / (((((bT * 1.4808565) * bT) + ((bL * bL) + 2.3809736)) ^ 1.5744134) / -0.46368524)"
41,0.42392018,"(((bL * (((((bL * 0.14180249) / (bT + 2.5755346)) * bT) + ((bL * 0.28627327) / (bT + 2.634018))) * -0.16362348)) + 1.0641592) / (((((bL * bL) + 2.0613093) + (bT * (bT * 1.4428241))) ^ 1.5005145) / -0.375417)) + 0.00014045101"
43,0.41828933,"(((0.053451773 / bT) + 1.0984572) + ((bL * -0.23361558) * (((bL * 0.25546175) / (bT + 2.6339695)) + ((bL * bT) * (0.1243489 / (bT + 2.570653)))))) / ((((((bT * bT) * 1.4847913) + (bL * bL)) + 2.3750596) ^ 1.5751818) / -0.46278152)"
45,0.41611537,"(((0.05322338 / (bT + -0.3133372)) + (bL * ((((bL * (bT / (bT + 2.56602))) * 0.12445702) + (bL * (0.25552297 / (bT + 2.629879)))) * -0.23363954))) + 1.0919486) / ((((bT * (bT * 1.470737)) + ((bL * bL) + 2.3935664)) ^ 1.5743668) / -0.45934802)"
47,0.40119696,"((((((bL * 0.25243145) / (bT + 2.6484532)) + (((bL * bT) * 0.123313434) / (bT + 2.5863197))) * bL) * -0.2293384) + ((0.09385118 / (bT * (bT * bT))) + 1.086832)) / (((((bT * (bT * 1.4726137)) + (bL * bL)) + 2.3736894) ^ 1.5770892) / -0.46684337)"
