Complexity,Loss,Equation
1,12.747201,"-0.0010570807"
5,9.518767,"-0.013408176 / (bT * bT)"
7,9.212804,"-0.018182913 / ((bT * bT) + 0.75313777)"
9,3.0804837,"-0.05232238 / ((bT * bT) + (bL * bL))"
11,0.8407144,"(-0.07821267 / ((bL * bL) + (bT * bT))) + 0.0013913562"
13,0.73756075,"-1.0068396 / (((bT * bT) + ((bL * bL) + 3.2269938)) ^ 1.970479)"
15,0.6871597,"-1.3096834 / (((bT * (bT / 0.83533454)) + ((bL * bL) + 3.6133733)) ^ 1.9788858)"
17,0.6552032,"(-0.42706034 / (((bL * bL) + (((bT * bT) + 1.8418757) * 1.169261)) ^ 1.6073321)) + 0.00033515866"
19,0.6541342,"(-0.42756933 / (((bL * bL) + (((bT * (bT + 0.019340824)) + 1.8416669) * 1.1689113)) ^ 1.608048)) + 0.00033419018"
21,0.61764944,"(-0.24606341 / (((bT * bT) + 2.2419891) + (((bL * bL) + (bT * (bT * 0.9020101))) ^ 1.4765179))) + 0.00047512996"
23,0.6031014,"(-0.3101583 / ((((0.6999105 * (bT * bT)) + (bL * bL)) ^ 1.586302) + (((bT * bT) + 1.062) / 0.42607784))) + 0.0004506941"
25,0.5879945,"(-0.38066486 / (((bT * (bT + -1.8867462)) + 1.7852865) + ((((bT * (bT + 0.41903535)) + (bL * bL)) + 1.1791352) ^ 1.6025273))) + 0.0003674059"
27,0.5862612,"(-0.36979046 / (((bT + -0.7529647) * (bT + -1.2233486)) + ((((bL * bL) + (((bT + 0.45121506) * bT) + 0.9179094)) ^ 1.6002637) + 1.4335146))) + 0.00035491426"
31,0.57594633,"(-0.35472837 / ((((bT + bT) * (bT + -0.7298003)) + (((((bL * bL) + -0.23037378) + ((bT + 0.45233908) * (bT / 1.2408873))) + 1.073919) ^ 1.5990003)) + 1.5302737)) + 0.00044130097"
35,0.55069286,"((-0.31828347 * (bT / (((((bT * bT) * 0.6599632) + (bL * bL)) ^ 1.5980725) + ((((bT + -0.646891) / bT) + (((bT + -0.66744506) * bT) + bT)) / 0.38662326)))) / bT) + 0.00046794082"
41,0.50712657,"(((-0.042662464 / ((bL * (bL * -0.10034604)) + -1.3622983)) / (bT / -1.6452739)) / (bT + ((((-0.24845245 / (1.3129674 / ((bL * bL) + ((-0.5396289 / (bT * (bT * -0.121816434))) + 1.6936433)))) + 1.2522291) * -1.6851485) / bT))) + 0.00043420325"
43,0.47467098,"(((-0.047297027 / (((bL * bL) * -0.10061307) + -1.4433465)) / (bT / -1.6202801)) / ((((-1.6076308 / bT) + 0.13871807) * ((-0.30608115 / (1.4355088 / ((-0.41574275 / ((bT * bT) * -0.10646895)) + ((bL * bL) + 1.6889808)))) + 1.2750767)) + bT)) + 0.00047507955"
45,0.4510231,"(((-0.045711868 / ((bL * (bL * -0.10220112)) + -1.428613)) / (bT / -1.6229447)) / (bT + (((-1.6195443 / bT) + 0.121113926) * ((-0.30079404 / (1.4627768 / ((bL * bL) + ((-0.39151183 / ((bT * (bT + 0.07329358)) * -0.0934014)) + 1.6826205)))) + 1.3073348)))) + 0.00044784253"
47,0.4406918,"(((-0.04853366 / ((bL * (bL * -0.09202911)) + -1.4202381)) / ((bT / -1.6040777) + -0.04524936)) / (bT + (((-1.6197243 / bT) + 0.1320284) * ((-0.31985554 / (1.4314153 / (((bL * bL) + 2.1169722) + (-0.45822254 / (bT * ((bT + 0.15970673) * -0.13956784)))))) + 1.287548)))) + 0.0005224534"
49,0.42845762,"(((-0.046411917 / ((((bL * bL) + (bT * 0.21942285)) * -0.097169116) + -1.4044212)) / (bT / -1.6230646)) / (bT + (((-0.29777217 / (1.3937161 / (((bL * bL) + (-0.43339804 / (bT * ((bT + 0.09662263) * -0.1170208)))) + 1.6980002))) + 1.2377855) * ((-1.6147281 / bT) + 0.10102378)))) + 0.000487789"
