Complexity,Loss,Equation
1,12.747201,"-0.0010570874"
5,9.518767,"(-0.013408176 / bT) / bT"
7,9.212804,"-0.018183222 / ((bT * bT) + 0.7532198)"
9,3.0804837,"-0.052322395 / ((bT * bT) + (bL * bL))"
11,0.84071434,"(-0.078213856 / ((bL * bL) + (bT * bT))) + 0.001391387"
13,0.7375054,"-0.96690494 / (((bT * bT) + ((bL * bL) + 3.1654036)) ^ 1.9587877)"
15,0.6871368,"-0.9190807 / ((((bL * 0.8352176) * bL) + ((bT * bT) + 3.0283568)) ^ 1.9787027)"
17,0.59878576,"-0.42327437 / ((((bL * 0.22026186) * bL) + (((bT * bT) + 2.3755312) ^ 0.6011677)) ^ 2.8157423)"
19,0.5600678,"(-0.17577419 / (((((bT * bT) + 1.2404737) ^ 0.6686503) + (bL * (bL * 0.29951918))) ^ 2.0400534)) + 0.00038368796"
21,0.55583066,"(-0.118316315 / ((((((bT * bT) + 1.91368) ^ 0.63604534) + -0.5568634) + (bL * (bL * 0.2565621))) ^ 1.9980112)) + 0.00041331444"
23,0.5364402,"(-0.18299544 / ((((((bT * bT) + 1.3106701) ^ 0.6610883) + ((bL * 0.28973833) * bL)) ^ 2.086214) + (-0.3684237 / bT))) + 0.00036290457"
25,0.50652003,"(-0.4256761 / (((bT * 0.30406508) + ((((bT * (bT + -0.5663966)) ^ 0.733897) + 1.5495902) + ((bL * 0.4064517) * bL))) ^ 2.1593797)) + 0.0003058267"
27,0.49876374,"(-0.4035511 / ((((((bT * (bT + 0.22864246)) + 1.351737) ^ 0.6583574) + ((-0.21868771 / bT) + ((bL * 0.28935397) * bL))) ^ 2.1032655) * 2.1581826)) + 0.00035796917"
29,0.49798286,"(-0.36546943 / (((((((((bT + 0.22593312) * bT) + 1.46014) ^ 0.6539526) + (-0.21068992 / bT)) + ((bL * 0.28293365) * bL)) + -0.12929213) ^ 2.0716183) * 2.1889565)) + 0.00037567306"
