Complexity,Loss,Equation
1,3496.2246,"0.011491741"
5,2694.0886,"(0.044548437 ^ bT) ^ bT"
7,2124.2449,"0.051076967 / ((bT * bT) + 0.08202241)"
9,2102.9963,"0.048439316 / (((bT * bT) ^ 0.826547) + 0.077374384)"
11,249.52759,"0.289987 / (((bT * bT) + (bL * bL)) + 0.41460922)"
13,7.049231,"(1.0946655 / (((bT * bT) + 1.4531344) + (bL * bL))) ^ 1.6431516"
15,1.7635878,"1.3917999 / ((((bT * (bT * 1.1381018)) + (bL * bL)) + 1.6014775) ^ 1.6707718)"
17,1.2177217,"0.8025944 / (((((bT * bT) + 0.7770346) + ((bL * bL) / 1.1501449)) ^ 1.5670314) + 0.6043869)"
19,1.0505128,"(0.65347815 / (((((bT * bT) + 0.47070208) + ((bL * bL) / 1.153326)) ^ 1.4809524) + 0.7127077)) + -0.0004826071"
21,0.9728364,"((((0.5972938 ^ bT) ^ bT) + 3.609417) * 0.2815208) / ((((bL * bL) + 1.5678769) + (bT * bT)) ^ 1.6051035)"
23,0.5311617,"(((0.2375949 ^ bT) ^ bT) + 1.825776) * ((0.29575253 / ((((bL * bL) + (bT * bT)) ^ 1.3760018) + 1.3275334)) + -0.0004626513)"
25,0.48715627,"(((0.2046394 ^ bT) ^ bT) + 2.2485268) * ((0.2387701 / ((((bT * bT) + (bL * (bL / 1.0446082))) ^ 1.3848389) + 1.2328783)) + -0.00036233175)"
27,0.4714339,"((((0.23264904 ^ bT) ^ bT) + 2.5194252) * ((0.20672745 / ((((bT * bT) + (bL * (bL / 1.0574511))) ^ 1.3705702) + 1.1560441)) + -0.0024475886)) + 0.005256202"
31,0.44315284,"(((0.23788422 ^ bT) ^ bT) + 2.7415638) * ((0.20856243 / (((bT * 0.06652261) * (bT + bT)) + ((((bT * bT) + (bL * bL)) ^ 1.3874066) + 1.2398678))) + -0.00030720493)"
33,0.43332285,"(((0.23788422 ^ bT) ^ bT) + 2.7415638) * ((0.20856243 / (((bT * 0.06652261) * ((bT + -0.0888867) + bT)) + ((((bT * bT) + (bL * bL)) ^ 1.3874066) + 1.2398678))) + -0.00030720493)"
35,0.4109892,"(((0.17189135 ^ bT) ^ bT) + 2.6186957) * ((0.19991069 / (((((bT * bT) + (bL * (bL / 1.1173081))) ^ 1.4036322) + 1.1490053) + ((bT * bT) * ((bT * bT) * -0.017797407)))) + -0.00032094665)"
37,0.37991756,"(((0.17472768 ^ bT) ^ bT) + 2.6390872) * ((0.19775659 / ((((bT * (bT * -0.017723037)) * (bT + 0.27935323)) * bT) + ((((bT * bT) + ((bL * bL) / 1.1178404)) ^ 1.4023273) + 1.1430955))) + -0.00032054118)"
39,0.3561341,"((((0.20708692 ^ bT) ^ bT) + 2.524425) * ((0.20428592 / ((((((bL * bL) / 1.103755) + (bT * bT)) ^ 1.3880869) + 1.1398435) + (((((bT + 0.40448427) * bT) * bT) * bT) * -0.01444009))) + -0.0024657324)) + 0.0053076446"
41,0.35302508,"(((0.20458604 / (((bT * (((bT * bT) * (bT + 0.6286983)) + -0.38510254)) * -0.013773042) + ((((bL * (bL / 1.1029472)) + (bT * bT)) ^ 1.3882955) + 1.1414838))) + -0.002409416) * (((0.20593987 ^ bT) ^ bT) + 2.5241282)) + 0.005172389"
45,0.3527985,"((2.5241075 + ((0.20594677 ^ bT) ^ bT)) * (-0.0024221595 + (0.20457225 / ((((((bL * bL) / 1.1029625) + (bT * bT)) ^ 1.3882908) + (-0.013792159 * ((bT * ((bT * (bT + (-0.81611454 / -1.3703101))) * bT)) + (-0.38509518 * bT)))) + 1.1413773)))) + 0.00520543"
