Complexity,Loss,Equation
1,3496.2249,"0.011490519"
5,3494.5403,"(bL * -0.00013121366) + 0.011519296"
7,2124.245,"0.051098146 / (0.082043715 + (bT * bT))"
9,2102.9983,"0.048439447 / (((bT * bT) ^ 0.82917696) + 0.07729524)"
11,249.52759,"0.2899746 / (((bL * bL) + 0.4145333) + (bT * bT))"
13,7.04946,"(1.0957046 / ((bL * bL) + ((bT * bT) + 1.4545677))) ^ 1.6438172"
15,1.7642301,"(1.2216047 / ((((bT * bT) * 1.1388354) + 1.6050215) + (bL * bL))) ^ 1.6722296"
17,1.2177626,"1.0015401 / ((((bL * bL) + (((bT * 1.1499835) * bT) + 0.89789265)) ^ 1.5678147) + 0.7500982)"
19,1.050889,"(0.816503 / (((((bL * bL) + 0.5622946) + (bT * (bT * 1.1531227))) ^ 1.4855129) + 0.8747315)) + -0.0004612237"
21,1.0347474,"(0.81687784 / (((((bT * (bT + -0.0039755204)) * 1.1530417) + ((bL * bL) + 0.5624559)) ^ 1.4858173) + 0.87515134)) + -0.00045856863"
23,1.0112224,"(0.81655 / ((((((bT * ((bT * -0.0029441644) + 1.153292)) * bT) + 0.5622829) + (bL * bL)) ^ 1.4854133) + 0.8749477)) + -0.00046422178"
25,0.5754467,"(0.83603406 / (((((bL * bL) + ((bT * bT) * ((bT * (bT * -0.0059352806)) + 1.1931331))) + 0.5321447) ^ 1.4916164) + 0.94093055)) + -0.00070800004"
27,0.56296515,"-0.00067790056 + (0.8363806 / ((((0.5328879 + ((bT * bT) * (((bT * (0.49912563 + bT)) * -0.0053837127) + 1.1952411))) + (bL * bL)) ^ 1.4906359) + 0.9430846))"
29,0.4600809,"(0.82990426 / ((((bT * -0.071634285) * (bT * bT)) * bT) + (((((bT * 1.2670189) * bT) + ((bL * bL) + 0.4350957)) ^ 1.4886703) + 1.0297887))) + -0.00066443265"
31,0.43559912,"(0.84101874 / ((((((bL * bL) + 0.44923267) + (bT * (bT * 1.2715603))) ^ 1.494041) + ((((bT + 0.081527956) * (bT * bT)) * bT) * -0.075482234)) + 1.0349522)) + -0.00063948514"
33,0.4286964,"(0.82990426 / (((((bT + 0.13038656) * bT) * ((bT * bT) * -0.034466896)) / 0.48115) + (((((bT * bT) * 1.2670189) + ((bL * bL) + 0.4350957)) ^ 1.4886703) + 1.0297887))) + -0.0006644942"
35,0.4272763,"(0.8131468 / ((bT * (-0.02239553 * ((bT * bT) * (bT + ((bT + bT) + 0.44192183))))) + (((((bT * (bT * 1.264198)) + (bL * bL)) + 0.40362984) ^ 1.4807348) + 1.0329307))) + -0.00069168326"
37,0.42655486,"(0.8016512 / ((((bT * (bT * 1.2579046)) + ((bL * bL) + 0.392415)) ^ 1.4749093) + (((bT * ((bT * (((bT + bT) + 0.33533648) * (bT + bT))) + -0.2531033)) * -0.01575314) + 1.022921))) + -0.0007215023"
39,0.42551476,"(0.8016248 / ((((((bT + 0.33533686) + (bT * 0.7855043)) * (bT * (bT + bT))) + -0.36135083) * (-0.01762486 * bT)) + (1.0229393 + ((0.39243662 + ((bL * bL) + ((bT * bT) * 1.257753))) ^ 1.474724)))) + -0.00072670844"
41,0.37424144,"(0.80844563 / (((((bL * bL) + (((bT * bT) * 1.2601622) + 0.40920195)) ^ 1.4780037) + ((bT ^ bL) * 0.01525042)) + (((bT * (bT * (bT * (bT + ((bT + 0.47284883) + bT))))) * -0.021633659) + 1.0035287))) + -0.0006984706"
43,0.3721331,"(0.80804133 / (((bT * ((((bT + bT) + (bT + 0.4731474)) * bT) * bT)) * -0.021510333) + (((((bT + -0.25414622) ^ bL) * 0.013326825) + ((((bT * bT) * 1.2582684) + ((bL * bL) + 0.40948236)) ^ 1.4781067)) + 1.0041945))) + -0.0007038996"
45,0.3712444,"(0.8083785 / ((((((bT * (bT * -0.02234991)) * bT) * (((bT * 0.9079271) + 0.4728714) + (bT + bT))) + 1.0036402) + (((bL * bL) + (((bT * bT) * 1.2596278) + 0.4091995)) ^ 1.4781816)) + (((bT + -0.2543518) ^ bL) * 0.014494723))) + -0.0007029917"
49,0.3691276,"((0.8080892 / ((((((bT * 1.2584462) * bT) + ((bL * bL) + 0.40907001)) ^ 1.4783249) + (((bT * ((((bT + (bT * 1.1000775)) + bT) + 0.6109906) * -0.020698901)) * (bT * bT)) + (((bT + -0.20165993) ^ bL) * 0.0143743055))) + 1.003495)) + (bT * -5.649507e-6)) + -0.0006933142"
