Complexity,Loss,Equation
1,3496.2246,"0.011491741"
5,2694.0886,"(0.044548355 ^ bT) ^ bT"
7,2124.2441,"0.051061016 / ((bT * bT) + 0.0819285)"
9,2103.0034,"0.048462935 / (((bT * bT) ^ 0.8274129) + 0.07752667)"
10,847.20386,"0.5231414 / ((bL * bL) + exp(bT * bT))"
11,249.52759,"0.28998733 / (((bL * bL) + 0.41461864) + (bT * bT))"
12,59.027195,"0.63820904 / exp(((bL * bL) + (bT * bT)) ^ 0.53933835)"
13,7.0491962,"(1.0942158 / (((bL * bL) + (bT * bT)) + 1.4524572)) ^ 1.642877"
15,1.7636433,"1.1216547 / (((((bL * bL) + 1.6019852) * 0.87847054) + (bT * bT)) ^ 1.6710411)"
17,1.2289746,"1.0197326 / (((((bL * bL) + ((bT * bT) * 1.150824)) ^ 1.0906534) + 1.3997573) ^ 1.4427456)"
19,1.0972681,"((0.8975493 / ((((bT * (bT * 1.1534718)) + (bL * bL)) ^ 1.1332288) + 1.2732483)) ^ 1.3300692) + -0.00038610047"
21,1.0798403,"((0.8811087 / ((((bL * bL) + (bT * ((bT + -0.00427082) * 1.1541032))) ^ 1.1409696) + 1.2558182)) ^ 1.3134806) + -0.00041850988"
23,1.0387937,"(0.97863615 / ((((((bT * bT) * 0.90257233) + (bL * bL)) ^ 1.152014) + (bT * (bT * 0.35954568))) + 1.3748987)) ^ 1.365565"
24,0.70570076,"((exp(bL * (bL * -0.0089201545)) / ((((bL * bL) + ((bT * bT) * 1.2230434)) ^ 1.1812257) + 1.221209)) * 0.8363226) ^ 1.2288748"
26,0.6743684,"(((exp((bL * bL) * -0.0086130975) * 0.7950438) / ((((bL * bL) + (bT * (bT * 1.2225022))) ^ 1.2024853) + 1.1758738)) ^ 1.1896625) + -0.00016057972"
28,0.6582725,"(((exp((bL * bL) * -0.0085104825) / ((((bL * bL) + ((bT * (bT + -0.0038235872)) * 1.2214631)) ^ 1.1989411) + 1.1799483)) * 0.7992769) ^ 1.1947784) + -0.00016314835"
30,0.6381314,"(((exp(((bL * bL) + (bT * -0.23177692)) * -0.008426745) / ((((bL * bL) + ((bT * 1.2172505) * bT)) ^ 1.195294) + 1.1732944)) * 0.7967513) ^ 1.1969932) + -0.00018640172"
