Complexity,Loss,Equation
1,3058.4875,"0.008222482"
5,2932.8677,"0.00038217657 / (0.0006087508 - bT)"
7,1862.3289,"0.037672166 / ((bT * bT) + 0.060141392)"
9,1857.6584,"0.036644924 / (((bT * bT) ^ 0.89758986) + 0.058462303)"
11,313.56412,"0.22023948 / (((bT * bT) + 0.3193336) + (bL * bL))"
13,5.8305187,"(1.1380091 / ((bT * bT) + ((bL * bL) + 1.4617013))) ^ 1.8609886"
15,1.8998344,"(1.2698851 / (((bL * bL) + (bT * (bT / 0.88767415))) + 1.6158512)) ^ 1.9003197"
17,1.255259,"0.78112805 / (((((bL * bL) * 0.8743728) + ((bT * bT) + 0.77888536)) ^ 1.7434862) - -0.5976652)"
19,1.2424796,"0.77970386 / ((((((bT + -0.0033438376) * bT) + 0.7761731) + ((bL * 0.8743018) * bL)) ^ 1.7428555) - -0.5992894)"
21,1.2172791,"((bT * 0.0022074066) + 0.79133207) / (((((bL * bL) * 0.8744842) + (0.79485804 + (bT * bT))) ^ 1.7482306) - -0.5913591)"
23,1.0656027,"(0.7158148 / ((((((bL * bL) * 0.87096256) + 0.67667705) + (bT * bT)) ^ 1.7095865) - -0.6275798)) - (bL * (bL * 7.577033e-6))"
25,0.94283825,"(0.90196663 / ((((bT * bT) + ((bL * (bL * 0.8716136)) + 0.9366376)) ^ 1.8102975) - -0.5494458)) - ((bL * (bL * 1.55689e-5)) + -0.00048490491)"
27,0.9299562,"((0.90222734 / (((0.9367473 + ((bT * (bT - 0.003381997)) + (bL * (0.8715053 * bL)))) ^ 1.8105024) - -0.549487)) - ((bL * bL) * 1.5590611e-5)) + 0.00048589037"
29,0.92083174,"((0.90223175 / ((((((bT - 0.003932886) * bT) + 0.9367353) + ((bL * bL) * 0.87142545)) ^ 1.8104514) - -0.54958653)) + 0.0004789834) - ((bT + (bL * bL)) * 1.5241933e-5)"
