Complexity,Loss,Equation
1,2716.819,"0.0062308093"
5,1963.2668,"(0.027856987 ^ bT) ^ bT"
7,1640.186,"0.029388202 / ((bT * bT) + 0.046801902)"
9,1639.3975,"0.029362477 / ((bT * (bT + 0.03385897)) + 0.046785023)"
11,358.28833,"0.17139307 / ((bT * bT) - (-0.25244537 - (bL * bL)))"
13,5.034158,"1.438086 / (((bT * bT) - (-1.4861051 - (bL * bL))) ^ 2.1000657)"
15,1.5387362,"1.8844578 / ((((bL * bL) - (bT * (bT / -0.8866902))) + 1.6604657) ^ 2.1573136)"
17,1.1094437,"1.090465 / ((((bL * bL) - (((bT / -0.87142813) * bT) - 1.0018662)) ^ 1.9637678) + 0.7334088)"
19,1.1063044,"(1.0457052 / ((((bL * bL) - ((bT * (bT / -0.8706296)) - 0.95739925)) ^ 1.9465909) + 0.7471393)) + -3.7099806e-5"
21,1.0237815,"(bT * -2.8353636e-5) + (1.0890334 / ((((bL * bL) - (((bT * bT) / -0.8714396) - 1.0003592)) ^ 1.9633263) + 0.7341519))"
23,0.97941756,"(0.9766544 / ((((bL * bL) - ((bT * (bT / -0.86751306)) - 0.879466)) ^ 1.919869) + 0.7746633)) - (bL * (bL * 6.036273e-6))"
25,0.79808736,"((bT * (bL * bL)) * -2.887706e-6) + (1.085869 / ((((bL * bL) - ((bT * (bT / -0.8710348)) - 0.9963546)) ^ 1.9621663) + 0.73704755))"
27,0.71808445,"(1.0420388 / ((((bL * bL) - ((bT * (bT / -0.86946535)) - 0.95237947)) ^ 1.9449985) + 0.75075024)) - (bL * ((bT + 1.6383926) * (bL * 2.7087888e-6)))"
29,0.6257937,"((1.2084323 / ((((bL * bL) - (((bT / -0.8698178) * bT) - 1.0951928)) ^ 2.0097113) + 0.7253478)) + 0.0002820091) - ((bL * ((bT * 2.6155108e-6) + 1.0349529e-5)) * bL)"
