Complexity,Loss,Equation
1,2999.727,"0.011326427"
5,2167.4958,"(0.047350015 / bT) / bT"
7,2135.036,"0.07297169 / ((bT * bT) + 0.6362183)"
9,133.20314,"0.26039585 / ((bL * bL) + (bT * bT))"
11,33.424324,"(0.29135725 / ((bT * bT) + (bL * bL))) + -0.005245797"
13,6.4380965,"0.67383844 / ((((bL * bL) + (bT * bT)) ^ 1.4884667) + 1.5736209)"
15,1.2944856,"0.9392314 / (((bT * bT) + (((bL * bL) * 0.86678404) - -1.2049874)) ^ 1.612215)"
17,0.70028794,"1.3866203 / ((((((bT * bT) ^ 0.90675426) - -0.94669694) * 1.3937824) + (bL * bL)) ^ 1.6724786)"
19,0.5260259,"(1.2123436 / ((((((bT * bT) ^ 0.89546984) - -0.8022606) * 1.4326619) + (bL * bL)) ^ 1.613697)) + -0.0004217785"
21,0.4804257,"(1.0283077 / (((((bL * bL) + (((bT * bT) ^ 0.9021425) * 1.4111311)) - -0.77656054) ^ 1.5614789) - -0.52573276)) + -0.00053837727"
23,0.48042008,"(1.0283077 / ((((((((bT * bT) ^ 0.9021425) * 1.4111311) + (bL * bL)) - -0.77656054) ^ 1.5614789) - -0.52573276) + 0.0002781553)) + -0.00053837727"
27,0.47853205,"(2.1450334 / (((((bL * (bL * 0.7052183)) + (((bT * bT) - ((bT ^ bL) * -0.0017215346)) ^ 0.8999442)) - -0.8182982) * 2.0207663) ^ 1.6140003)) - 0.00038888477"
29,0.45590657,"(2.1439517 / (((((bL * (bL * 0.70344853)) + ((((bT - 0.004305183) * bT) - ((bT ^ bL) * -0.0017921417)) ^ 0.89912164)) - -0.81694835) * 2.0197423) ^ 1.6152645)) - 0.00038948393"
