Complexity,Loss,Equation
1,3496.2246,"0.011487537"
5,2694.0886,"(0.04454788 ^ bT) ^ bT"
6,2561.3909,"sin((0.044552736 ^ bT) ^ bT)"
7,2444.497,"((0.037325125 ^ bT) ^ bT) - -0.00721464"
8,2306.4072,"sin(((0.03726204 ^ bT) ^ bT) - -0.0072931773)"
9,1052.0027,"exp(cos(bL) - (bT * bT)) * 0.21626106"
11,685.9844,"exp((bL - exp(bL)) - (bT * (bT / 2.578602)))"
13,377.15314,"exp((bL - exp(bL * 0.76939726)) - ((bT * bT) / 2.3494623))"
15,209.56944,"exp((bL - exp(bL * 0.7519151)) - ((bT * bT) ^ 0.5244845)) / 0.6279514"
17,146.60852,"(exp((bL - exp(bL * 0.7587915)) - ((bT * bT) ^ 0.5569969)) / 0.6373415) + 0.003790151"
19,131.5998,"exp((bL - exp((bL * 0.66509455) + 0.20813446)) - (((bT * bT) ^ 0.5476772) - 0.6554151)) + 0.0033455193"
21,90.67601,"exp(((bL * 1.7174635) - exp((bL * 0.40847394) + 1.3639708)) - (((bT * bT) ^ 0.55708474) - 3.3995118)) + 0.0036834467"
23,68.41289,"exp((bL - exp((bL + 0.49523988) * 0.6114332)) - (((bT * bT) ^ 0.5562007) - cos(cos(bL + -1.2041174)))) + 0.003346441"
24,56.78733,"(exp((bL - exp((bL * 0.24449785) + 1.373333)) - (((bT * bT) ^ 0.558311) - cos(bL * 0.7579067))) / 0.08362052) + 0.003639642"
26,42.00496,"sin(exp((bL - exp((bL * 0.20470293) + 1.5362277)) - (((bT * bT) ^ 0.44146308) - (cos(bL) * cos(bT * -0.58036184)))) / 0.032524876)"
27,30.56923,"sin(sin(exp((bL - exp((bL * 0.20396231) + 1.5462158)) - (((bT * bT) ^ 0.44485718) - (cos(bL) * cos(bT * -0.5854103)))) / 0.030422358))"
28,28.163422,"sin(sin(sin(exp((bL - exp((bL * 0.20464009) + 1.5426502)) - (((bT * bT) ^ 0.45069504) - (cos(bL) * cos(bT * -0.59108686)))) / 0.030286618)))"
29,26.13167,"sin(sin(exp((bL - exp((bL * 0.22529869) + 1.389502)) - (((bT * bT) ^ 0.4493217) - (cos(-0.157561 - bL) * cos(bT * -0.58929074)))) / 0.05882401))"
30,23.305897,"sin(sin(sin(exp((bL - exp(1.3821081 + (0.22851014 * bL))) - (((bT * bT) ^ 0.45087773) - (cos(bT * 0.60004634) * cos(0.14043799 + bL)))) / 0.059511747)))"
