Complexity,Loss,Equation
1,3496.2246,"0.011491741"
5,3426.276,"cos(cos(bT)) * 0.015181173"
6,2694.0889,"exp(bT * bT) ^ -3.1109731"
7,2124.2444,"0.051071174 / ((bT * bT) + 0.08196134)"
9,1052.0027,"0.21626118 / exp((bT * bT) - cos(bL))"
10,847.20386,"0.5231421 / ((bL * bL) + exp(bT * bT))"
11,7.9529634,"((bL * bL) + ((bT * bT) + 1.3267723)) ^ -1.5813198"
12,7.171932,"sin(((bT * bT) + ((bL * bL) + 1.2759758)) ^ -1.5899276)"
13,2.2816007,"((bL * (bL * 0.87434876)) + ((bT * bT) + 1.3132788)) ^ -1.6236663"
14,1.3636435,"sin((((bL * (bL * 0.87346816)) + (bT * bT)) + 1.2630872) ^ -1.6335529)"
16,1.3481227,"sin(((((bL * bL) * 0.87332666) + 1.2631292) + ((bT + -0.0039123804) * bT)) ^ -1.6335809)"
17,1.2265569,"sin(sin((1.0684854 / ((((bT * 1.1527401) * bT) + (bL * bL)) + 1.2844999)) ^ 1.5935574))"
19,1.0032924,"sin((1.2910619 / (((bL * bL) + ((bT * bT) + (cos(bT) * -0.4755448))) + 2.08459)) ^ 1.714516)"
20,0.68741864,"sin(1.4253592 / (((bL * bL) + (((sin(cos(bT)) * -0.5430741) + (bT * bT)) + 2.0072877)) ^ 1.6842531))"
21,0.66939557,"sin(1.4039149 / (((((bT * bT) + sin(sin(cos(bT)) * -0.5555832)) + (bL * bL)) + 1.990689) ^ 1.679031))"
22,0.6400166,"sin(((1.2117996 / ((bT * bT) + (((bL * bL) + 1.9792504) + (sin(cos(bT)) * -0.54131573)))) ^ 1.6677265) - 0.0001643041)"
23,0.4509283,"sin(sin(sin((1.0672352 / ((cos(bT) * -0.53009635) + ((bL * bL) + ((bT * bT) + 1.716289)))) ^ 1.58622))) + -0.0004620954"
24,0.44246778,"sin(sin(((1.1828028 / ((bT * bT) + (((cos(bT) * -0.5397642) + (bL * bL)) + 1.6892607))) ^ 1.5730226) + -0.00063566066)) / 1.2119601"
25,0.43374616,"sin(sin(sin((1.0687352 / (((bT * (bT + -0.0048271506)) + (bL * bL)) + ((cos(bT) * -0.5317041) + 1.7194873))) ^ 1.587088))) + -0.00045776475"
26,0.42510623,"sin(sin(((1.1829845 / ((1.6892782 + ((bT * (bT - 0.0047958638)) + (bL * bL))) + (cos(bT) * -0.53907186))) ^ 1.5733343) + -0.0006331532)) / 1.2115781"
27,0.40863115,"sin(sin(sin((1.0688313 / (((cos(bT + 0.060036656) * -0.53208584) + (((bT + -0.02880393) * bT) + (bL * bL))) + 1.7191066)) ^ 1.587268))) + -0.000456396"
28,0.4003088,"sin(sin(((1.185363 / (((bL * bL) + 1.697417) + ((bT * (bT - 0.02726754)) + (cos(-0.055624142 - bT) * -0.54130155)))) ^ 1.5757623) + -0.0006191491)) / 1.2082233"
29,0.39797428,"sin(sin(sin(((1.1051413 / ((cos(-0.05871908 - bT) * -0.54258025) + (1.6735075 + (((bT - 0.028727656) * bT) + (bL * bL))))) ^ 1.5694883) + -0.0005854354) / 1.1004324))"
30,0.39788243,"sin(sin(sin(sin(((0.98423684 / (((bL * bL) + (bT * (bT + -0.031032044))) + ((cos(bT + 0.064473) * -0.54156214) + 1.6811594))) ^ 1.5730772) + -0.00046989994)))) / 0.90942097"
