Complexity,Loss,Equation
1,3496.2246,"0.011494168"
5,2694.0886,"(0.04454696 ^ bT) ^ bT"
6,2561.3909,"sin((0.044563945 ^ bT) ^ bT)"
7,2124.2444,"0.051070243 / ((bT * bT) + 0.08197257)"
9,2102.9895,"0.048363578 / (((bT * bT) ^ 0.8272242) + 0.077109225)"
10,847.20386,"0.52314216 / ((bL * bL) + exp(bT * bT))"
11,249.52757,"0.28998753 / ((bL * bL) + ((bT * bT) + 0.4146188))"
12,7.171931,"sin((((bL * bL) + (bT * bT)) + 1.2760693) ^ -1.5899138)"
13,7.049274,"(1.0949587 / ((bT * bT) + ((bL * bL) + 1.4535292))) ^ 1.6433411"
14,1.3636451,"sin(((bL * (bL * 0.87349325)) + ((bT * bT) + 1.263134)) ^ -1.6335492)"
16,1.3481116,"sin((((bT * (bT + -0.0039355694)) + (bL * (bL * 0.8733945))) + 1.2630581) ^ -1.6335615)"
17,1.2265576,"sin(sin(0.8860384 / (((((bL * 0.86736226) * bL) + (bT * bT)) + 1.1143178) ^ 1.5935599)))"
19,1.1620865,"sin(sin(0.85540193 / ((((bL * (bL * 0.86882377)) + (bT * bT)) + 1.0884527) ^ 1.5735906))) + -0.00020750523"
20,1.1554997,"sin(sin(sin((0.729443 / (((bT * bT) + (((bL * bL) * 0.8633193) + 0.9118804)) ^ 1.5106988)) + -0.00046511332)))"
21,0.69721365,"sin((1.2475692 / (((bT * bT) + ((bL * bL) + sin(bT * (bT * 0.18074876)))) + 1.5654821)) ^ 1.6934745)"
23,0.63743556,"sin((1.2555306 / ((((bL * bL) ^ 0.9918435) + (bT * bT)) + (sin((bT * 0.17619854) * bT) + 1.5738143))) ^ 1.702748)"
24,0.50032866,"sin(sin((1.1691465 / ((sin((bT * bT) * 0.18012032) + ((bL * bL) + ((bT * bT) + 1.3206261))) ^ 1.6072967)) - 0.00043015878))"
25,0.49450913,"sin(sin((1.1857629 / ((((bT * bT) + ((bL * bL) + sin(bT * sin(bT * 0.1896274)))) + 1.3302965) ^ 1.611797)) - 0.00042489494))"
26,0.44119352,"sin(sin((1.1834966 / (((((bL * bL) ^ 0.9919624) + sin((bT * bT) * 0.17608409)) + ((bT * bT) + 1.3288429)) ^ 1.6163638)) - 0.00042133348))"
28,0.4334408,"sin(sin((1.1835847 / ((((bL * bL) ^ 0.992025) + (sin((bT + -0.01906037) * (bT * 0.17592041)) + ((bT * bT) + 1.3289013))) ^ 1.6164433)) - 0.00041945602))"
30,0.4237756,"sin(sin((1.1835269 / (((((bL * bL) ^ 0.9921004) + (sin(((bT * bT) + -0.018393101) * 0.17601433) + (bT * (bT + -0.0047673606)))) + 1.3321201) ^ 1.616294)) - 0.0004202765))"
