Complexity,Loss,Equation
1,5929.4897,"0.01052533"
3,2677.3804,"0.43992212 ^ bsq"
5,435.42606,"0.27909583 / (bsq + 0.40747792)"
7,12.814115,"(-1.0847161 / (-1.4374013 - bsq)) ^ 1.6418437"
9,12.461205,"0.94617736 / (((bsq + 1.0428467) ^ 1.5838412) + 0.44086862)"
11,7.8703327,"(-1.0802801 / (((Pb * Pb) + -1.4280976) - bsq)) ^ 1.6506556"
13,3.0957031,"(-1.0648531 / (((Pb * 3.199992) * Pb) + (-1.4004637 - bsq))) ^ 1.6682408"
15,2.8219886,"((-1.1191314 / (((Pb * (Pb * 3.2652774)) + -1.4664394) - bsq)) - -0.003127832) ^ 1.7266686"
17,2.8213265,"(((-1.115036 / ((-1.4688145 - bsq) + ((Pb * Pb) * 3.2652636))) - -0.0031213076) ^ 1.7276462) * 1.0091602"
19,1.4555418,"(((-1.2259073 / ((((Pb * 3.326059) * Pb) - bsq) + -1.5856992)) ^ 1.8158784) + (bsq * -4.03947e-5)) - -0.0024622725"
21,0.6120976,"(((-1.8571107 / ((((Pb * 5.4594135) * Pb) - bsq) + -2.5913339)) ^ 2.7784662) + -0.002073339) - (0.18065092 / (-0.7709268 - bsq))"
23,0.4163647,"((-2.5038598 / (((Pb * 9.052374) * Pb) + (-3.8242066 - bsq))) ^ 3.7596517) + (-0.0015375663 - (0.30695167 / (-0.72057176 - (bsq ^ 1.1703764))))"
27,0.28152183,"((-0.004413956 - (0.23374383 / (-0.76638705 - bsq))) + ((-2.8148458 / (-3.7717836 - (bsq - ((Pb * (6.5927544 * Pb)) ^ 1.1345965)))) ^ 3.8142843)) - (-2.7240305e-5 * bsq)"
29,0.2796844,"(((-2.8113086 / ((((Pb * Pb) * 6.595314) ^ 1.1481345) + (-3.770049 - bsq))) ^ 3.8007772) - (((0.23253076 / (-0.7633216 - bsq)) + 0.004371955) + (bsq * -1.0000268))) - bsq"
