Complexity,Loss,Equation
1,8015.6226,"0.024080632"
5,4477.913,"(0.6912781 ^ n) * 0.24493499"
7,4458.5244,"((1.263465 ^ n) + 0.8914088) ^ -2.2844064"
9,4448.5513,"(((2.5128107 ^ n) - -1.6013719) ^ -0.4815888) / 2.8572986"
11,3203.8008,"(((0.9617437 ^ bL) ^ bL) * (0.704304 ^ n)) / 2.411477"
13,3138.628,"((((1.0475162 ^ bL) ^ bL) * (1.4852931 ^ n)) - -1.3972508) ^ -1.1751938"
15,3137.5542,"(((((1.0689571 ^ bL) ^ bL) * (1.7664517 ^ n)) - -1.5293893) ^ -0.75279975) / 1.408386"
17,2712.7273,"(0.7095468 ^ n) * ((((((0.54718995 ^ bL) ^ bL) + 0.9662979) ^ bL) ^ bL) / 2.8270648)"
19,2398.5354,"(((((n * ((0.41262674 ^ bL) ^ bL)) + 0.9682105) ^ bL) ^ bL) * (0.6700653 ^ n)) / 2.5063477"
21,2276.093,"(0.674189 ^ n) * ((((((n + 1.7623367) / ((2.5080047 ^ bL) ^ bL)) + 0.9743299) ^ bL) ^ bL) / 2.9143293)"
23,2242.1064,"((0.69075197 ^ n) * ((((((n + 1.6629342) / ((2.566084 ^ bL) ^ bL)) + 0.97691995) ^ bL) ^ bL) / 2.9237704)) + -0.0056119543"
27,1949.313,"(((((n / (((-1.0011631 ^ bT) + 2.0941033) * (((2.533054 ^ bL) ^ bL) / 2.9217331))) + 0.97188616) ^ bL) ^ bL) * (0.65894234 ^ n)) / 2.624869"
29,1892.7325,"(((((((n + 0.8947331) / ((-0.99915934 ^ bT) + 2.1649141)) * 2.4139333) / ((2.4590564 ^ bL) ^ bL)) + 0.9743333) ^ bL) ^ bL) * ((0.66868675 ^ n) / 2.8631089)"
