Complexity,Loss,Equation
1,8015.6226,"0.024080226"
4,6621.5615,"0.29757825 / exp(n)"
5,4477.913,"(0.6912647 ^ n) * 0.24497645"
7,4452.9014,"0.41288975 / ((1.5788699 ^ n) + 0.78812593)"
9,4442.289,"(0.6180879 / ((1.7787466 ^ n) + 1.7849658)) + 0.0049889768"
10,3790.4692,"5.3501225 / (((bL * bL) + 14.299305) + exp(n))"
11,3525.004,"4.6399 / ((n ^ 2.7776794) + ((bL * bL) - -12.657168))"
13,3194.5767,"8.860717 / (((n + ((bL * 0.11882561) * bL)) ^ 2.8296938) - -29.449827)"
14,3112.1003,"1.2866763 / exp((n - -3.9828663) * (((bL / 151.57564) * bL) + 0.30647105))"
16,2104.8425,"1.5950083 / ((bT * bT) + exp((n + ((bL * bL) * 0.1940603)) * 0.40838072))"
18,739.07855,"0.911392 / exp(((n - -2.2194128) * ((bL * bL) + ((bT * bT) + 13.6345005))) / 76.36483)"
20,671.0996,"0.5672649 / exp((n - -1.8198367) * (((bL * bL) + ((bT * bT) + (n + 2.0641894))) / 69.842545))"
22,645.2396,"0.6745571 / exp(((n - -1.8070048) * ((((bT * bT) + (bL * bL)) + (1.9714707 + n)) / 55.464775)) ^ 0.84568757)"
24,608.42,"(exp(((n - -0.92224604) * (((n + (bL * bL)) + ((bT * bT) + -3.1390638)) / 77.856705)) - -1.9212021) - 4.812652) ^ -0.9409753"
26,608.40704,"(exp(((n - -0.9263733) * (((n + (((bL * bL) + (bT * bT)) + -1.0357376)) + -2.072553) / 77.85637)) - -1.9172815) - 4.790604) ^ -0.9405724"
28,608.3412,"(exp((((((bL * bL) + (n + ((bT * bT) + -3.0353463))) * (n - -0.9408513)) - (n / 77.84758)) / 77.85144) - -1.8772792) - 4.5401874) ^ -0.9488503"
