Complexity,Loss,Equation
1,7631.162,"0.023791902"
4,6236.1953,"0.295199 / exp(n)"
5,4106.7554,"0.24309699 / (1.4474508 ^ n)"
7,4081.5383,"0.41034076 / ((1.5804607 ^ n) - -0.7901897)"
8,4081.5366,"0.41192812 / (exp(n * 0.45823282) + 0.7996159)"
9,4071.4397,"(3.620136 / ((n * n) + 10.285187)) ^ 1.4717884"
10,2995.0535,"((0.12160137 / exp(n)) / (bT * bT)) ^ 0.3511138"
11,2970.1233,"((0.71383667 ^ n) * 0.49454397) / ((bT * bT) ^ 0.4050728)"
13,2907.9646,"(((0.10933441 / (2.245263 ^ n)) / (bT * bT)) ^ 0.35272875) + -0.01105754"
14,2896.8145,"(((1.456932 ^ bL) / exp(1.356874 ^ bL)) + 0.05499867) / (1.4265647 ^ n)"
15,1450.7964,"((((0.87250507 ^ bL) ^ bL) / ((2.3425524 ^ n) * bT)) / bT) ^ 0.36256242"
17,1117.3276,"(((0.6011329 / bT) * ((0.87259 ^ bL) ^ bL)) / ((2.3436365 ^ n) * bT)) ^ 0.36238423"
19,996.0215,"(((((0.8851543 ^ bL) ^ bL) / (bT / (0.4303568 ^ n))) * (0.44623882 / bT)) ^ 0.32623088) + -0.012001082"
20,969.10516,"(((((1.3433975 ^ bL) / (exp(bL) - bL)) / (2.124264 ^ n)) / (bT * bT)) ^ 0.34428334) + -0.01610823"
21,962.0028,"((((1.1397597 / (exp(bL) + exp(0.09628396 - bL))) / (2.548315 ^ n)) / (bT * bT)) ^ 0.27678943) + -0.016503774"
22,845.0361,"(((((1.4777321 ^ bL) / (exp(bL + 0.43909198) - bL)) / (2.1416624 ^ n)) / (bT * bT)) ^ 0.33316064) + -0.0169814"
24,840.2664,"(((((1.4881183 ^ bL) / (exp(bL + 0.58874) - bL)) / (2.1180384 ^ n)) / (bT * (bT / 1.1358354))) ^ 0.3374971) + -0.017227402"
25,748.0218,"((((1.636434 / (exp(bL) + (exp(0.25249958 - bL) + (bT * bT)))) / (2.6394842 ^ n)) / (bT * bT)) ^ 0.25807118) + -0.01887804"
27,662.5404,"((((0.573745 / (((exp(0.17489414 - bL) + -2.591912) + exp(bL)) + (bT * bT))) / (2.8802302 ^ n)) / (bT * bT)) ^ 0.22255619) + -0.022695355"
29,655.1551,"((((0.764932 / (exp(0.50411046 - bL) + ((bL + -2.9195192) + (exp(bL) + (bT * bT))))) / (2.816229 ^ n)) / (bT * bT)) ^ 0.23008093) + -0.021718789"
30,621.30225,"((((1.0426515 / (((exp(0.72497946 - bL) + exp(bL)) + (exp(bL) + (bT * bT))) + -3.9557106)) / (2.8419654 ^ n)) / (bT * bT)) ^ 0.22769402) + -0.02211932"
