Complexity,Loss,Equation
1,7631.162,"0.023791961"
5,4106.7554,"(0.69081306 ^ n) * 0.243117"
7,4087.1057,"((1.2650288 ^ n) + 0.90040094) ^ -2.2827866"
9,3641.7957,"(0.7512237 ^ n) / ((bT * bT) - -1.1031849)"
11,2926.854,"(0.7130766 ^ n) * ((0.3839635 / (bT * bT)) - -0.14546739)"
13,1177.3915,"(((bT * bT) + (bL * bL)) * (1.7005169 ^ n)) ^ -0.52657145"
15,593.67395,"((((bT * bT) + (bL * bL)) * (1.5420113 ^ n)) ^ -0.46864715) + -0.03332118"
17,566.699,"((((1.5425824 ^ n) * ((bT * bT) + (bL * bL))) + 0.509304) ^ -0.46654564) + -0.033720043"
19,149.41405,"((((bT / (17.079102 / bT)) + (bL * (bL / 17.450024))) * (1.5044602 ^ n)) + 1.5322481) ^ -1.3401451"
21,124.479485,"(((((bL * bL) / 12.817079) + (bT / (12.434654 / bT))) * ((1.4271834 ^ n) + -0.39305103)) + 1.5238551) ^ -1.3753176"
25,119.00809,"(((((1.4318745 ^ n) + -0.37851864) * (((bL / 11.1346) * bL) + ((bT * 1.2862064) / (13.943714 / bT)))) + 1.5558249) ^ -1.263962) + -0.0023938422"
