Complexity,Loss,Equation
1,7631.162,"0.023790982"
5,4106.7554,"(0.6908724 ^ n) * 0.24308811"
7,4079.521,"1.9157761 / ((n ^ 2.3929381) + 9.041792)"
9,3641.7954,"(0.7511374 ^ n) / ((bT * bT) + 1.1024523)"
11,2883.7878,"(0.7039725 ^ n) / (((bL * 0.14773618) * bL) + 2.3657002)"
13,1177.3911,"(0.7559998 ^ n) / (((bL * bL) + (bT * bT)) ^ 0.52643394)"
15,205.0954,"8.984644 / ((((bL * bL) + (bT * bT)) / (0.6459487 ^ n)) + 14.086029)"
17,149.5992,"(17.246412 / ((((bL * bL) + (bT * bT)) / (0.6643155 ^ n)) + 26.455212)) ^ 1.3382307"
19,124.21091,"(20.812286 / (((((bT * bT) + (bL * bL)) / (0.6805886 ^ n)) + 29.33091) + n)) ^ 1.4935423"
21,93.34341,"(15.950305 / ((n + 24.862476) + (((bT * bT) + ((bL * bL) + -0.6484908)) / (0.6519507 ^ n)))) ^ 1.2694566"
23,55.729794,"(20.584661 / ((((((bT * bT) + -1.686304) + (bL * bL)) / (0.66777813 ^ n)) + 31.308935) + (n ^ 1.7866867))) ^ 1.4451332"
25,53.99507,"(20.523289 / ((n ^ 1.7797505) + ((((bT * bT) + (((bL * bL) * 0.93834996) + -1.684334)) / (0.6683645 ^ n)) + 31.114178))) ^ 1.4655867"
29,48.787163,"(0.88036895 ^ n) / (((((((-1.3214467 / bT) / bT) + ((bT * bT) - (bL * (bL * -1.0732105)))) / (0.7360647 ^ n)) + 35.11397) / 25.139229) ^ 1.5493122)"
