Complexity,Loss,Equation
1,30.882734,"-0.0022185447"
5,21.677822,"(n * 0.0011517499) + -0.010956581"
7,18.720737,"(0.50634325 ^ n) * (n * -0.028063986)"
9,18.655104,"(0.5126506 ^ n) * ((n - -0.10274688) * -0.025861362)"
11,16.101976,"(0.5174672 ^ n) * (n / (-16.148935 - (bT * bT)))"
13,10.469471,"(0.7722049 ^ n) / (((bT * bT) / -0.42923883) - (bL * bL))"
15,3.6305041,"(0.5280562 ^ n) * (n / ((-0.9697025 - (bT * bT)) - (bL * bL)))"
17,2.9320123,"(((0.5505867 ^ n) * n) / ((-1.3402765 - (bT * bT)) - (bL * bL))) - -0.0010942788"
19,1.6717205,"((((0.52500856 ^ n) * n) + 0.05904013) / ((-1.4531058 - (bT * bT)) - (bL * bL))) - -0.0020491327"
21,1.5975955,"((((0.5252089 ^ n) * n) + 0.05836246) / ((((0.17808075 - bT) * bT) - 1.4611542) - (bL * bL))) - -0.0020364453"
23,1.350448,"((((0.5281974 ^ n) * n) + 0.036852755) / ((((n * 0.23251538) - (bT * bT)) - 2.104783) - (bL * bL))) - -0.0016235091"
25,1.2345629,"((((0.52578086 ^ n) * (n + 0.09600196)) + 0.036742847) / ((((n * 0.28238773) - (bT * bT)) - 2.4525316) - (bL * bL))) - -0.0016275181"
27,1.1707212,"((((n + 0.097831994) * (0.5264406 ^ n)) + 0.037069626) / ((((n * 0.27574298) - ((bT - 0.14631009) * bT)) - 2.4488506) - (bL * bL))) - -0.0016509864"
29,1.1542658,"((((((0.512506 ^ n) * n) / -0.89430743) - 0.03978697) / (bT + -0.106816396)) / ((((bL * bL) + (3.4956691 - (n ^ 0.58317447))) / bT) + bT)) + 0.0015884999"
