Complexity,Loss,Equation
1,6615.0474,"0.021817492"
3,4410.157,"0.17349061 / n"
5,3946.435,"(0.6696292 ^ n) * 0.2785163"
7,3945.8984,"((0.66322863 ^ n) + 0.0033874153) * 0.28158006"
9,3226.123,"((0.34320325 / (bT * bT)) - -0.101881295) / n"
11,2533.6138,"(1.8729687 / ((bL * bL) + (bT * bT))) / n"
13,1275.0381,"(4.3674073 / ((bT * bT) + ((bL * bL) + 3.217016))) / n"
15,215.06705,"9.090269 / ((((bT * bT) + (bL * bL)) / (0.64507395 ^ n)) - -14.517565)"
17,148.94083,"(19.36569 / ((((bL * bL) + (bT * bT)) / (0.6646923 ^ n)) - -30.653187)) ^ 1.3913848"
19,120.52426,"10.211721 / ((((bL * bL) + ((bT * bT) + -0.79336494)) / (0.62189645 ^ n)) - (-17.558369 - n))"
21,89.822174,"(10.332281 / (((n ^ 0.6013046) * (((bL * bL) + (bT * bT)) / (0.7713465 ^ n))) + 17.256039)) + -0.007104482"
23,49.72959,"(18.057947 / (((((bT * bT) + (bL * bL)) + -1.0832442) / (0.656649 ^ n)) - (-24.070469 - (n * 3.4679854)))) ^ 1.330635"
29,47.430298,"(16.060785 / (((((((bT * bT) + (bL * bL)) + -0.9097256) * ((n - -0.99256265) ^ 0.6438961)) / (0.7278691 ^ n)) - -24.319122) + (n * 3.4917529))) - 0.005397423"
