Complexity,Loss,Equation
1,5929.4897,"0.01052533"
3,2677.3804,"0.43997672 ^ bT"
4,2318.9758,"sin(0.44930986 ^ bT)"
5,14.144972,"(bT + 1.3266951) ^ -1.5864894"
6,12.650019,"sin((bT + 1.2729722) ^ -1.594951)"
8,12.526482,"sin((bT + 1.2751795) ^ -1.5921484) + -0.00014108457"
9,10.094766,"0.49738055 / (sin(cos(bL)) + (bT ^ 1.3874815))"
10,6.173154,"0.46869996 / ((bT ^ 1.3539207) + sin(sin(cos(bL))))"
11,3.6576333,"0.51610154 / ((sin(cos(bL)) + (bT ^ 1.2560782)) ^ 1.118035)"
12,1.6638639,"(0.46512136 / (sin(sin(cos(bL))) + (bT ^ 1.3274925))) + -0.00096814655"
13,1.4181472,"(0.450082 / (sin(cos(bL)) + ((bT ^ 1.3164687) + -0.12546876))) + -0.000985335"
15,1.343831,"-0.0010162754 + (0.45341963 / (((bT ^ 1.3171325) + sin(cos(0.9655701 * bL))) + -0.120019235))"
17,0.8614917,"(0.44873077 / ((bT ^ 1.3031614) + sin(cos((bL * 2.6967566) * bT) + -0.20608686))) - 0.0011134688"
18,0.6061363,"(0.44756472 / ((sin(cos(bL * sin(bT * -0.8757032))) + (bT ^ 1.3035394)) + -0.13055064)) + -0.0011248384"
20,0.54514354,"(0.45011094 / (((bT ^ 1.3069725) + sin(cos(bL * (sin(bT * -0.87319756) - -0.022505758)))) + -0.12619515)) + -0.0010979868"
22,0.5137617,"(0.44935107 / (((bT ^ 1.3021618) + sin(cos(bL * cos(sin((bT * bT) - cos(bL)))))) + -0.12773958)) + -0.0011770113"
24,0.5050892,"(0.4493512 / ((sin(cos(cos(sin(cos(bL) - ((bT * bT) * 0.9996426))) * bL)) + -0.1277396) + (bT ^ 1.3021619))) + -0.0011768969"
25,0.4811112,"(0.44926667 / ((bT ^ 1.2952803) + (sin(cos(sin(bT - cos((bL * (bT + -0.87470245)) * 0.66457)) * bL)) + -0.12735528))) + -0.0012412454"
26,0.4763655,"-0.0011143924 + (0.45064986 / ((bT ^ 1.3062385) + (sin(cos(bL * sin(bT - (0.1268772 * (bT + (cos(bT) / cos(bL))))))) + -0.12512875)))"
27,0.46463683,"(0.4518095 / (((bT ^ 1.3023032) + sin(cos(bL * sin(((bT * 0.15398338) - bT) + (cos(bL * 0.85598713) * 0.6823857))))) + -0.12378536)) + -0.0012030526"
28,0.45954606,"(0.4513759 / (sin(cos(bL * sin(((cos(bT) * cos(bL)) * 0.64418244) + ((bT * 0.13004544) - bT)))) + ((bT ^ 1.3068519) + -0.123915106))) + -0.0011195865"
29,0.4498891,"(0.4520633 / (((bT ^ 1.3079644) + -0.12259753) + sin(cos(bL * sin((bT * 0.12578844) + ((sin(bT * sin(cos(bL))) * 0.58304125) - bT)))))) + -0.0010981143"
30,0.4494123,"(0.45166707 / (((bT ^ 1.3082747) + sin(cos(bL * sin(bT - ((bT * 0.12897457) + (cos((bT * bT) * cos(bL)) * 0.24922067)))))) + -0.123315506)) + -0.0010929583"
