Complexity,Loss,Equation
1,5929.4897,"0.010525331"
3,2677.3804,"0.4399223 ^ bT"
5,435.42615,"0.27910525 / (bT + 0.40755898)"
7,12.814111,"(1.084779 / (bT + 1.4375178)) ^ 1.6418976"
9,12.461228,"0.9449937 / (((bT + 1.0386342) ^ 1.583457) - -0.44653943)"
11,12.339399,"(0.908128 / (((bT + 0.99127483) ^ 1.5648537) - -0.46239454)) - 0.00017850887"
13,3.0777311,"0.9695905 / (((bL * -0.54775846) * bL) + ((bT + 1.3021641) ^ 1.605622))"
15,1.2724452,"(1.510899 / ((((bT ^ 1.321321) * 3.3109457) + 2.406441) - (bL * bL))) + -0.0011490036"
17,1.2709833,"(0.70925516 / ((1.129389 - ((bL * bL) * 0.4744155)) + ((bT ^ 1.3210657) * 1.5561787))) + -0.0011497621"
19,1.2709794,"(0.70925534 / ((((bT ^ 1.3210654) * 1.5561787) + 1.129389) - (((bL / 2.446396) * 1.1606083) * bL))) + -0.0011497675"
21,0.9553568,"(1.0668213 / ((1.696325 - (((bL * bL) / 1.4715356) + (bT * -0.90589094))) + ((bT ^ 1.4449407) * 1.4751341))) + -0.00072031654"
27,0.669355,"(0.83929884 / ((1.3324897 - ((bL * bL) / (((1.2119396 ^ bT) - ((bL * bL) / 2.6458592)) * 1.7664357))) + ((bT ^ 1.3053555) * 1.850982))) + -0.0010654179"
