Complexity,Loss,Equation
1,8661.412,"0.18063968"
3,4779.4033,"0.77849054 ^ n"
5,63.81421,"(0.84578115 ^ n) * 0.59764934"
7,22.258549,"((0.8821479 ^ n) * 0.6556932) - 0.08253204"
9,4.8514614,"(0.80688316 ^ n) - ((0.69487625 ^ n) * 0.4447552)"
11,0.7994285,"((0.83062255 ^ n) - ((0.46647483 ^ n) * 0.19940424)) * 0.6848169"
13,0.7910908,"((0.83046573 ^ n) - (((0.46766618 ^ n) + -0.0025130818) * 0.20050277)) * 0.6845784"
17,0.7283305,"(0.8304935 ^ n) * (0.6858737 - ((0.13910297 - ((-1.5190184 ^ n) * 0.00160497)) * (0.56347746 ^ n)))"
19,0.6920546,"(0.83046573 ^ n) * (0.68580085 - ((0.13796222 - (((-1.4245383 ^ n) * n) * 0.00039155912)) * (0.5632982 ^ n)))"
21,0.60029584,"(0.83046573 ^ n) * (0.68580085 - ((0.13796222 - (((-1.2825683 ^ n) * (n * n)) * 0.00039155912)) * (0.5632982 ^ n)))"
23,0.46207786,"((0.8293342 ^ n) * 0.69490767) - (((0.49786893 ^ n) + (((n * (n + -1.9772192)) * (-0.35836327 ^ n)) * -0.07070169)) * 0.14694235)"
25,0.37260243,"(0.83001655 ^ n) * (0.6882344 - (((0.5751563 ^ n) + ((n * (n * ((n + -2.0073202) * (-0.4014612 ^ n)))) * -0.03184404)) * 0.1411424))"
27,0.36557856,"((0.8295278 ^ n) * 0.69282687) - (((0.48642558 ^ n) + ((n * (((n + -2.049178) / 0.82953244) * (-0.35829523 ^ n))) * (n * -0.02189043))) * 0.14491443)"
29,0.36143112,"((0.8293342 ^ n) * 0.69490767) - (((0.49786893 ^ n) + ((((n - -0.35836327) * ((n + -2.0339384) * -0.026761819)) * (n ^ 0.89697677)) * (-0.35836327 ^ n))) * 0.14694235)"
