Complexity,Loss,Equation
1,109.57931,"-0.05837541"
5,85.212746,"(n ^ 0.00048536249) * -0.06338534"
6,82.21812,"-0.06338534 / exp(-0.23801678 ^ n)"
7,6.4185424,"(n * (0.6705083 ^ n)) * -0.13543099"
8,6.418497,"exp(n / -2.502418) * (n * -0.13539317)"
9,1.6714815,"(((0.6162034 ^ n) + 0.014036014) * n) * -0.16162518"
10,1.6713902,"(-0.16145529 * n) * (exp(n / -2.0671148) + 0.014009504)"
11,1.0740246,"(((0.6209993 ^ n) + 0.014211743) * (n - -0.050359745)) * -0.15445645"
12,1.0725543,"(exp(n / -2.106816) + 0.014093058) * ((n + 0.051156435) * -0.15374184)"
15,1.0114596,"(((((-0.047877982 ^ n) + 0.5952511) ^ n) * (n - 0.118689165)) * -0.15369566) + -0.026479032"
16,0.98156404,"(((0.593097 ^ n) * (n * -0.15061714)) + -0.027003622) * exp((0.13658638 ^ n) * -1.1301329)"
17,0.9517391,"(-0.053308677 / (-1.6764979 - (n ^ n))) + ((n * ((0.5848173 ^ n) * -0.15934293)) + -0.027897699)"
19,0.94560474,"((0.5844764 ^ n) * (n * -0.15858135)) + ((-0.0452683 / (-1.159994 - ((n ^ n) * 1.1031071))) + -0.028090745)"
21,0.94407433,"(((-0.047278088 / (-1.2599534 - ((n ^ n) / 0.8347827))) + -0.027321089) + ((0.5861293 ^ n) * (n * -0.15510166))) * 1.0167214"
23,0.9379881,"((n * ((0.5777982 ^ n) * -0.1661939)) + -0.028653463) + (-0.05742949 / ((((-0.027574217 - n) / -1.9723628) + -1.8676114) - (n ^ n)))"
26,0.93437374,"((n * -0.16345441) * (0.5790092 ^ n)) + (exp((((n * -0.70599324) - 0.8885262) * 1.4045181) * ((-1.2406464 / (-1.8141539 ^ n)) ^ n)) * -0.02872175)"
