Complexity,Loss,Equation
1,8661.411,"0.18064938"
3,4779.4043,"0.77847844 ^ n"
4,1605.7344,"gaussian(1.0385065 ^ n)"
5,63.81467,"(0.8457629 ^ n) * 0.5977196"
7,22.268372,"((0.8813132 ^ n) * 0.65474075) - 0.08049796"
8,1.0192795,"((exp(n) + 1.9569321) ^ -0.18273376) * 0.6676288"
13,0.89314693,"gaussian(bP) * (((exp(n + -3.302775) + 0.06809296) ^ -0.17974462) - 0.008718909)"
15,0.8654257,"((((exp(n + -3.2681131) + 0.07002063) ^ -0.2849641) - 0.0049810093) ^ 0.63183093) * gaussian(bP)"
17,0.77126074,"((exp(gaussian(exp(n)) + (n * 0.7815)) + (2.2904131 + exp(n))) ^ -0.19105466) * 0.7368635"
21,0.45168862,"((exp((-0.02580639 / (n + (bP / (gaussian(bP) * (-0.49339542 * bP))))) + n) + 2.022518) ^ -0.18363711) * 0.6712675"
23,0.44702265,"((exp((-0.025472054 / ((n + 0.07559596) + (bP / (bP * (gaussian(bP) * -0.48764074))))) + n) + 2.021991) ^ -0.18353343) * 0.67102593"
