Complexity,Loss,Equation
1,89.86158,"0.0014210346"
3,5.5858045,"0.3733998 ^ n"
5,1.0119966,"(0.49319527 ^ n) * 0.22803715"
7,0.030310227,"((0.571696 ^ n) * 0.11593514) - 0.0005513597"
9,0.014358504,"(((0.38548562 / n) + -0.04877004) / n) - -0.00087561196"
11,0.014297909,"(((0.41168225 / n) + -0.054056775) / (n + 0.21530405)) + 0.0011167336"
13,0.014297522,"(((0.8163417 / n) + -0.10668682) / (n + (n + 0.37254283))) + 0.0010845679"
15,0.012954106,"((0.6939364 / n) + -0.07288752) / ((n * 1.8493081) + (n / (10.874687 - n)))"
17,0.011387684,"((1.1784492 / n) + -0.12397087) / ((((n / (11.05191 - n)) + n) + n) * 1.580736)"
19,0.0028966686,"((1.292254 / n) + -0.13913389) / ((n / (n + -9.724966)) + (((n + n) + -1.1395562) * 2.1791523))"
21,0.001070816,"(((1.4019618 / n) + -0.15471865) / (((n + (n + -1.2717057)) * 2.370363) + (n / (n + -9.392227)))) + 0.00011315364"
25,0.00092934514,"(((1.4012351 / n) + -0.15462512) / (((-0.43965676 ^ n) + (n / (n + -9.392411))) + ((n + (n + -1.2714303)) * 2.371034))) + 0.00011337768"
27,0.0008847433,"(((1.3907255 / n) + -0.15346673) / ((n / (n + -9.395973)) + ((((-1.5867009 / n) ^ n) + 2.3310742) * ((n + n) + -1.1795814)))) + 0.0001112973"
