Complexity,Loss,Equation
1,480.7913,"0.0028752002"
3,18.697704,"n ^ -3.2822313"
5,1.117573,"(0.51713884 ^ n) * 0.17753343"
7,0.2078589,"((0.5392199 ^ n) * 0.15753715) - 0.00040085454"
11,0.08936165,"((((0.3840589 ^ n) + -0.002084781) * n) * 0.13302444) + 0.0025221135"
13,0.08283051,"(((0.37582102 ^ n) + -0.0019273944) * ((n + -0.22531609) * 0.15258878)) + 0.002627611"
15,0.05229893,"(-0.09631874 ^ n) + (((n * 0.15491958) * ((0.36720577 ^ n) + -0.002182846)) + 0.003132772)"
17,0.049476802,"((n * (((0.36511922 ^ n) + -0.0023313707) * 0.15534247)) + 0.0033586097) + ((n * -0.029705174) ^ n)"
19,0.049476776,"((n * (((0.36511922 ^ n) + -0.0023313707) * 0.15534247)) + 0.0033586097) + (((n * 0.047959704) / -1.6145235) ^ n)"
21,0.037069403,"(((n + ((-1.3457053 ^ n) * -0.009555733)) * 0.16218944) * ((0.36164942 ^ n) + -0.002295193)) + ((-0.11078331 ^ n) + 0.0034369412)"
23,0.02748713,"((-0.11765281 ^ n) * 0.58156395) + (((n * ((0.35105163 ^ n) + (((n + 0.6361231) * 0.00026776764) + -0.007178948))) * 0.1641955) + 0.0069057243)"
