Complexity,Loss,Equation
1,7515.7056,"0.036822677"
3,292.4198,"0.6028814 ^ n"
5,4.405465,"(0.6595182 ^ n) * 0.6557096"
7,2.4397213,"((0.6680492 ^ n) - 0.0028734067) * 0.63357806"
9,1.3293049,"((-0.20899533 ^ n) + (0.65550303 ^ n)) * 0.680083"
11,0.9766878,"((0.65899646 ^ n) - (0.0010467219 - (-0.20350328 ^ n))) * 0.66995096"
13,0.53666586,"((0.6632148 ^ n) - (0.0018177441 - ((-0.4356316 ^ n) * 0.07070531))) * 0.652361"
15,0.5152384,"0.6539027 * ((0.66166157 ^ n) - ((0.038189933 * (0.003870759 - (-0.36407226 ^ n))) * n))"
17,0.48306212,"((0.66242784 ^ n) - (((0.0029493812 - (-0.3477285 ^ n)) * (n - 0.95977634)) * 0.064626835)) * 0.6508335"
19,0.48012573,"((0.66245854 ^ n) - (((0.0029708983 - (-0.34773877 ^ n)) * 0.064641066) * ((n - 1.0135027) + bP))) * 0.65074164"
23,0.37329453,"((0.66397375 ^ n) - (((0.0036638516 - (-0.37012526 ^ n)) * 0.05116715) * (n - (0.47309157 - (n * (-0.80964375 ^ n)))))) * 0.6394556"
25,0.36750758,"((0.6640592 ^ n) - (((n - (0.51475805 - ((n * (-0.8096441 ^ n)) * 0.9190562))) * 0.051169995) * (0.0036850795 - (-0.37012613 ^ n)))) * 0.63946366"
29,0.3653963,"((0.6640287 ^ n) - (((n - (0.5548935 - ((-0.8089611 ^ n) * (n + (n - (n + 0.3721856)))))) * (0.00374866 - (-0.37090272 ^ n))) * 0.050736062)) * 0.6397145"
