Complexity,Loss,Equation
1,13799.997,"0.041604415"
3,9386.025,"0.6050598 ^ n"
4,306.8842,"gaussian(-1.0845449 ^ n)"
5,276.73978,"(0.71224296 ^ n) * 0.4875452"
6,46.09219,"gaussian(0.9096148 - (n * -0.12277258))"
8,45.486816,"(gaussian(1.0987334 ^ n) * 1.1035131) + 0.01344662"
9,2.3809702,"(0.6452895 ^ n) + ((0.4909814 ^ n) * -0.5827786)"
11,0.98970836,"((0.66056085 ^ n) * 0.79456997) + ((0.42917147 ^ n) * -0.37929922)"
13,0.98806804,"((((0.6462502 ^ n) * -0.41033936) + 0.8617718) * 0.9193054) * (0.66073334 ^ n)"
15,0.9856728,"((exp(gaussian(bP) - 0.86600214) ^ n) * -0.37929922) + ((0.66056085 ^ n) * 0.79456997)"
16,0.9180847,"(gaussian(((0.6859337 ^ n) * -0.59211326) + -0.23510705) * 1.0019414) * ((0.66233397 ^ n) * 0.8212854)"
21,0.13167235,"((0.6579204 ^ n) * 0.82920754) + ((exp(gaussian((n * 2.0854928) * (4.836257 - n)) - 0.81117845) ^ n) * -0.4135428)"
23,0.13062972,"(((exp(gaussian((n * (4.8358808 - n)) * 2.0904737) - 0.8155978) ^ n) * -0.40873817) + ((0.6583015 ^ n) * 0.823926)) * 1.0005139"
