Complexity,Loss,Equation
1,13799.997,"0.041606"
3,9386.026,"0.6050474 ^ n"
4,306.8842,"gaussian(-1.0845426 ^ n)"
5,276.73996,"(0.7122227 ^ n) * 0.48761883"
6,131.92357,"gaussian(1.0941035 ^ n) + 0.012558195"
8,13.252195,"gaussian((n / 3.675982) ^ 0.6434616) * 0.42638874"
9,6.0243087,"((n + 2.2988575) * (0.59091 ^ n)) * 0.18246597"
10,2.4199188,"(n + 0.7144502) * (gaussian(n ^ 0.39507237) * 0.5793764)"
12,0.9293462,"(gaussian((n / 1.241438) ^ 0.4252916) * (n + 1.0029685)) * 0.4142248"
14,0.9232939,"gaussian(n ^ 0.44478458) * ((1.208777 ^ n) * (0.3977591 * (1.0442845 + n)))"
16,0.92090654,"(gaussian((n ^ 0.44473955) + 0.003057873) * (0.40229124 * (1.2094363 ^ n))) * (n + 1.0321381)"
18,0.9200906,"((n + 1.0313821) * ((1.2049525 ^ n) * 0.40266067)) * (gaussian((n ^ 0.44389364) + 0.001472729) + -1.8568887e-6)"
20,0.7241371,"(n + 1.0279173) * (((-0.6248268 ^ n) * 0.0006210063) + ((1.2004251 ^ n) * (gaussian(n ^ 0.44324034) * 0.40427965)))"
22,0.63892955,"(n + 1.0279173) * (((gaussian(n ^ 0.44324034) * 0.40427965) + (((-0.37424397 ^ n) * 0.00077143364) * n)) * (1.2004251 ^ n))"
24,0.5960418,"(n + 1.0279173) * (((1.2004251 ^ n) * (0.40427965 * gaussian(n ^ 0.44324034))) + (((n ^ 1.8573684) * (-0.37424397 ^ n)) * 0.00063128164))"
25,0.4550455,"(((1.2004251 ^ n) * (n + 1.0279173)) * 0.40427965) * ((gaussian(1.2004251 ^ n) * ((-2.45497 ^ n) * 0.0006312813)) + gaussian(n ^ 0.44324034))"
32,0.43751073,"((((((n + -1.8477576) * ((n * n) + -1.4413148)) * n) * ((-0.35016888 ^ n) * 0.0014068162)) + 0.4021901) * gaussian(n ^ 0.44385275)) * ((n + 1.0331522) * (1.203505 ^ n))"
34,0.41549817,"(((n + -1.8477576) * ((n / 0.5526817) * ((-0.35016888 ^ n) * (((n + -1.4413148) * n) * 0.0014068162)))) + 0.4021901) * (((1.203505 ^ n) * (n + 1.0331522)) * gaussian(n ^ 0.44385275))"
38,0.38399315,"((1.203505 ^ n) * (n + 1.0331522)) * (((bP * ((n ^ 0.4321637) * ((((n + -1.4413148) * ((n + -2.1430502) * bP)) * (-0.35016888 ^ n)) * (n * 0.0016931103)))) + 0.4021901) * gaussian(n ^ 0.44385275))"
44,0.3810261,"((1.203505 ^ n) * (1.0331522 + n)) * (((bP * ((n ^ 0.4321637) * (((n + -1.4413148) * ((n + (-0.29529274 + -1.8477576)) * bP)) * ((-0.35016888 ^ n) * (((-0.24103203 + n) * 1.203505) * 0.0014068162))))) + 0.4021901) * gaussian(n ^ 0.44385275))"
48,0.37928957,"(((((((((n + -1.8477576) * (((bP * (n ^ 0.4321637)) * (n + -1.4413148)) * bP)) + (((n + -1.0736191) * -1.2357975) + -0.65850425)) * (n * 1.159301)) * (-0.35016888 ^ n)) * 0.0014068162) + 0.4021901) * (1.203505 ^ n)) * (n + 1.0331522)) * gaussian(n ^ 0.44385275)"
