Complexity,Loss,Equation
1,8808.214,"0.019586675"
4,673.8997,"gaussian(1.1275395 ^ n)"
5,231.0978,"(0.6600416 ^ n) * 0.3288782"
6,46.07613,"gaussian((n / -7.2527146) + -1.0855436)"
8,6.684728,"gaussian((n * 0.32380742) ^ 0.67988265) * 0.28769264"
9,1.8458507,"((n + 1.5671418) * (0.51047623 ^ n)) * 0.18050487"
11,1.77205,"(((0.5085989 ^ n) * 0.18298207) * (n + 1.5442889)) + 0.00021294995"
14,1.0708888,"((gaussian(0.17368865 / bP) * 0.5129405) ^ n) * (0.18042675 * (n + 1.5686079))"
16,1.017425,"(((n + 1.5606581) * ((gaussian(0.17617127 / bP) * 0.5120183) ^ n)) * 0.18103997) + 0.00018497783"
18,0.8819308,"(0.5150784 ^ n) * ((n + 1.5805558) * ((gaussian((n * 0.5525581) / bP) * 0.011391113) + 0.16744938))"
20,0.67920583,"(((n * 0.77811116) + (gaussian(bP) * ((n * -1.9004788) + 1.5354333))) + 1.1787761) * ((0.5105627 ^ n) * 0.23717807)"
22,0.6393308,"((n * 0.7754935) + (1.149963 + ((n + -0.82636124) * (gaussian(bP) * -1.7750384)))) * (((0.5080592 ^ n) + 0.0001250378) * 0.24282286)"
27,0.62508225,"((((gaussian(bP) * ((gaussian(n * 0.1706966) * ((n * n) * -0.81919557)) + 1.0596675)) + (n * 0.7786779)) + 1.1839719) * (0.5105541 ^ n)) * 0.23646986"
28,0.62496346,"((0.51038605 ^ n) * 0.23626581) * (((((((n * n) * -0.65171814) + gaussian(n)) * gaussian(n * 0.16144134)) * gaussian(bP)) + (n * 0.7812778)) + 1.1872519)"
29,0.5509443,"((1.1858706 + ((gaussian(bP) * -2.167952) * (-0.72367895 + (n * gaussian((n ^ 0.48214018) + (n * -0.46214116)))))) + (0.7891981 * n)) * (0.23535456 * (0.5101124 ^ n))"
31,0.54766065,"((((gaussian(bP) * (((n * gaussian((n * -0.4401565) + ((n * 0.84379256) ^ 0.4954228))) + -0.72223437) * -2.1689088)) + 1.1857544) + (n * 0.78595686)) * (0.5102786 ^ n)) * 0.23558366"
32,0.5318124,"((((n * 0.8041676) + ((((((gaussian((-1.337826 ^ n) * 0.14754349) * n) * -0.6228027) * n) + gaussian(n)) + 0.35158506) * gaussian(bP))) + 1.217161) * (0.5104755 ^ n)) * 0.22972414"
33,0.4029181,"(0.511014 ^ n) * ((((n * 0.77917385) + 1.1941417) + (gaussian(bP) * (gaussian(n * ((n ^ 0.72378176) + (n * -0.6357077))) * (1.1463126 + (n * (-0.6888016 * n)))))) * 0.23462853)"
34,0.3612504,"((((((gaussian(((n ^ 0.72332263) + (n * -0.63609993)) * n) * (n * (n * -0.6360955))) + gaussian(n)) * gaussian(bP)) + (n * 0.7798803)) + 1.1937615) * 0.23491308) * (0.5109261 ^ n)"
35,0.33979517,"((((n * 0.78031325) + 1.1931351) + ((((((n + 1.4346862) * n) * -0.53670174) + 1.1940438) * gaussian(bP)) * gaussian(((n ^ 0.7233323) + (n * -0.6361627)) * n))) * (0.5108866 ^ n)) * 0.23490635"
36,0.333086,"(0.5110286 ^ n) * (0.22933017 * ((n * 0.7997398) + (1.2217058 + (((gaussian(n * ((n ^ 0.6931526) + (n * -0.606626))) + 0.14864962) * ((n * (-0.57825035 * n)) + gaussian(n))) * gaussian(bP)))))"
37,0.3241905,"(((gaussian(bP) * ((gaussian(((n ^ 0.6647895) + (n * -0.57897866)) * n) * (((n * -0.49088818) * n) + 1.3208166)) + (n / -1.143223))) + ((n * 0.7912491) + 1.1947885)) * 0.23406284) * (0.51031846 ^ n)"
38,0.32171106,"(0.22915184 * (0.51105964 ^ n)) * (1.2216833 + ((n * 0.7997232) + ((gaussian(n * ((n ^ 0.69315535) + (n * -0.6066235))) + 0.14864968) * (((gaussian(n) + ((n * n) * -0.57825106)) + 0.17929475) * gaussian(bP)))))"
39,0.2917115,"((((n * 0.801697) + 1.2083791) + (((((-0.52404135 * (n * n)) + 1.6455628) * gaussian(((n * -0.65897226) + (n ^ 0.7446345)) * (1.5807285 ^ n))) + (-0.95825803 * n)) * gaussian(bP))) * (0.5103392 ^ n)) * 0.2309986"
41,0.28975344,"((((n * 0.801697) + 1.2083791) + (((((-0.52404135 * (0.119998366 + (n * n))) + 1.6455628) * gaussian(((n ^ 0.7446345) + (n * -0.65897226)) * (1.5807285 ^ n))) + (-0.95825803 * n)) * gaussian(bP))) * (0.5103392 ^ n)) * 0.2309986"
43,0.26593468,"(((((n / -0.9582579) + (gaussian(n * (((n * -0.6589767) + (n ^ 0.7446298)) * ((-0.7467655 ^ n) + 1.6455628))) * ((n * (n * -0.5125176)) + 1.5100181))) * gaussian(bP)) + (1.2083858 + (n * 0.801702))) * (0.51035607 ^ n)) * 0.23105155"
45,0.25866142,"(((n * 0.801702) + ((gaussian(bP) * ((n * -0.9582579) + (gaussian(((n + 0.96445996) * ((-0.7467655 ^ n) + 1.1907299)) * ((n * -0.6589767) + (n ^ 0.7446298))) * (((n * n) * -0.5125176) + 1.4881444)))) + 1.2083858)) * (0.51035607 ^ n)) * 0.23105155"
46,0.2573294,"0.23255171 * (((((gaussian(n * ((n ^ 0.69578475) + (n * -0.6088909))) * (((((n * n) * -0.8393468) + (0.66496253 ^ n)) * gaussian(bP)) * (gaussian(((n * -0.4136914) + 1.0910796) * n) + 0.9399159))) + n) * 0.7994242) + 1.2001902) * (0.50992215 ^ n))"
