Complexity,Loss,Equation
1,4453.612,"0.009153244"
4,1771.0142,"0.1927088 / exp(n)"
5,130.14017,"(0.6319249 ^ n) * 0.1641466"
6,130.1401,"0.16415046 / exp(n / 2.1789308)"
7,76.52047,"((0.66828656 ^ n) * 0.16296627) + -0.004204418"
9,2.5741966,"((n * 0.11186022) + 0.14259776) * (0.46189433 ^ n)"
11,1.9199106,"(((n * 0.107295506) + 0.14331914) * (0.46814314 ^ n)) - 0.00038864557"
18,1.0011845,"exp((9.46163 - (n + 12.300724)) * 0.77224886) * ((n + 1.3330195) - ((bP * 0.0023955943) * bP))"
19,0.99482906,"((exp(bP * (bP * -0.2993068)) + 1.2462307) + n) * exp((7.8997684 - (n + 10.743556)) * 0.7716955)"
21,0.35744902,"(exp((9.902027 - (n + 12.877662)) * 0.7552167) * (exp((bP * -0.2950365) * bP) + (n + 1.3218757))) - 0.00043331337"
22,0.33753824,"(((n + 2.7877173) + (n - ((bP * bP) * 0.005188924))) * exp((3.209108 - (n + 7.065645)) * 0.75867057)) + -0.00039574708"
24,0.20996243,"(exp((4.195906 - (n + 7.8180127)) * 0.79169345) * ((n ^ 1.1474805) + (n + (2.631911 - (bP * (bP * 0.0049490016)))))) + -0.00025009632"
33,0.2073504,"(exp((4.142506 - (n + 7.8302197)) * 0.7734435) * (n + ((n - ((((bP * bP) * 2.4473944) - ((n * -0.3741279) * exp(6.0049276 - n))) * 0.001976472)) + 2.5924172))) + -0.0002779509"
35,0.20593087,"(((n + (n + 2.5912857)) - (((bP * (bP * 2.436633)) - ((exp(5.9988546 - n) * (n * -0.3754152)) + 1.7791104)) * 0.0019825455)) * exp((4.1521106 - (n + 7.843752)) * 0.77292264)) + -0.00028806506"
37,0.20487279,"((((n + n) + 2.5905375) - ((((bP * bP) * 2.4366019) - (((exp(5.998925 - n) * (n ^ 1.0484761)) * -0.3755777) + 1.7790478)) * 0.0019939432)) * exp((4.142696 - (n + 7.834092)) * 0.7728609)) + -0.00029302159"
38,0.1696027,"((((n + 2.8203652) - ((0.005236197 * (bP - ((-1.9327515 ^ n) * ((0.0244269 / (((n * n) * -0.08731187) - -2.4085922)) * bP)))) * bP)) + n) * exp((4.870139 - (n + 8.761207)) * 0.7549585)) + -0.00041808237"
40,0.16954008,"(((2.8203652 - (-0.00049404416 + ((0.005236197 * (bP - (((0.0244269 / (((n * -0.08731187) * n) - -2.4085922)) * bP) * (-1.9327515 ^ n)))) * bP))) + (n + n)) * exp((4.870139 - (n + 8.761207)) * 0.7549585)) + -0.00041808237"
41,0.1695048,"(exp((4.868003 - (8.757403 + n)) * 0.7551131) * (((2.8214972 - ((exp(-0.34788784) + ((bP - (((-1.9323264 ^ n) * bP) * (0.023886187 / (((n * n) * -0.087787345) - -2.407704)))) * bP)) * 0.0051945914)) + n) + n)) + -0.00041497426"
42,0.15263422,"((((n + n) + 2.8208268) - ((bP - ((-1.9321424 ^ n) * (bP * (0.02338904 / ((n * (n * -0.0866892)) - -2.4069195))))) * ((bP + (n / bP)) * 0.005232159))) * exp((4.880101 - (n + 8.774592)) * 0.7542968)) + -0.00042035227"
44,0.1430087,"(exp((4.958206 - (n + 8.861328)) * 0.75222045) * (n + ((n + 2.81229) - (((bP + ((n / 0.20647766) / bP)) * 0.005168691) * (bP - (bP * ((0.018811753 / ((n * (n * -0.085843235)) - -2.3907256)) * (-1.9319158 ^ n)))))))) + -0.0004289837"
