Complexity,Loss,Equation
1,4453.612,"0.00915023"
4,1771.0142,"exp(-1.646557 - n)"
5,130.1401,"(0.6319398 ^ n) * 0.16415891"
6,74.32382,"1.6082989 / (exp(n) - -11.23813)"
8,8.338795,"0.50411373 / (exp(n / 1.47729) - -2.4392838)"
10,2.5735397,"((n - -1.2769219) * exp(n * -0.7723497)) * 0.11174528"
12,1.9585514,"((exp(n * -0.76211345) + -0.00031911072) * (n - -1.3236266)) * 0.107990205"
14,1.9206582,"((exp((n * -0.7594089) + -0.037705686) * (n - -1.3329034)) * 0.11165919) - 0.00038775435"
18,1.7947209,"(((-0.76022506 / ((n * -1.2193022) - exp(n - -2.4756114))) ^ 0.7767008) * (n + 1.2145509)) + -0.00027592506"
19,1.7675742,"((-0.5750469 / ((exp(1.2491533) / (bP * bP)) - exp(n - -2.2642388))) ^ 0.77445304) * (n + 1.2491533)"
20,0.9986212,"((-0.7296999 / (0.052047644 - exp(n - -2.5138488))) ^ 0.77313447) * (((0.77313447 / (bP * bP)) + 1.2126313) + n)"
22,0.37575907,"(((-0.8046484 / (-1.2795001 - exp(n - -2.7499897))) ^ 0.7592739) * ((0.80539566 / (bP * bP)) + (n + 1.3900901))) + -0.0003533153"
24,0.20075603,"((((0.7522814 / (bP * bP)) + n) + 1.1483152) * ((-0.74998814 / ((n * -1.3911344) - exp(n - -2.444119))) ^ 0.7781947)) + -0.0002665866"
26,0.20066316,"((n + ((0.7569948 / ((bP * bP) - 0.00023646167)) + 1.1480331)) * ((-0.7567871 / ((n * -1.4004153) - exp(n - -2.452924))) ^ 0.77823734)) + -0.0002655731"
28,0.17149524,"((((0.7524311 / ((bP * bP) - (n * 0.74970907))) + 1.1507267) + n) * ((-0.7506073 / ((n * -1.3911409) - exp(n - -2.443435))) ^ 0.7791405)) + -0.00026566908"
30,0.16885456,"(((-0.7506073 / ((-1.3911409 * n) - exp(n - -2.443435))) ^ 0.7791405) * ((0.7524311 / (((bP * bP) - -0.20164838) - (n * 0.7791405))) + (1.1507267 + n))) + -0.00026566908"
32,0.16152732,"(((0.765054 / ((bP - (n / ((n * n) - 25.35856))) * bP)) + (n + 1.1439543)) * ((-0.76240504 / ((n * -1.3974952) - exp(n - -2.4550147))) ^ 0.7788371)) + -0.00025084254"
34,0.09181607,"(((-0.7642845 / ((n * -1.403394) - exp(n - -2.453617))) ^ 0.78067505) + -2.1698736e-5) * ((0.75415796 / ((bP - (n * (bP / (25.358181 - (n * 4.6020827))))) * bP)) + (n + 1.146145))"
42,0.08216157,"(((0.75411046 / (((bP - ((n * bP) / (25.35818 - (n * n)))) * bP) - ((n / -0.65382004) * (n * -0.049863297)))) + 1.1444626) + n) * (((-0.7647173 / ((n * -1.4034232) - exp(n - -2.4536424))) ^ 0.7805574) + -2.2768592e-5)"
44,0.08029372,"((n + (0.75423807 / (((bP - (n * (bP / (25.358189 - (n * n))))) * bP) - (((-2.8696942 - (n / 0.57294935)) * n) * -0.037427343)))) + 1.1465608) * (((-0.7639618 / ((n * -1.4033822) - exp(n - -2.4536955))) ^ 0.7807352) + -2.2780572e-5)"
46,0.075346194,"(-2.2780572e-5 + ((-0.7639618 / ((n * -1.4033822) - exp(n - -2.4536955))) ^ 0.7807352)) * (n + ((0.75423807 / (((bP - ((n * bP) / (25.358189 - (n * n)))) * bP) - (((n / (0.3871285 * -1.4033822)) - n) * (n * -0.037427343)))) + 1.1465608))"
