Complexity,Loss,Equation
1,4.924684e-5,"-0.0029248185"
4,4.7568814e-5,"expdecay(bT) * -0.32424763"
5,2.9213865e-5,"Lorentzian(bL, bT * -10.004925)"
6,2.8713106e-5,"Lorentzian(gaussian(n), bT) * -0.10581815"
7,2.8055405e-5,"Lorentzian(n * 0.17481476, bT) * -0.1312315"
8,2.427646e-5,"gaussian((bT * 0.008795033) * n) * -0.021890376"
9,1.2066893e-5,"Lorentzian(Lorentzian(n, -0.10096221), bT * n) * -0.5994714"
10,9.236244e-6,"Lorentzian(expdecay(n) * 8.793633, n * bT) * -0.7642584"
11,8.051291e-6,"Lorentzian(Lorentzian(-0.44376534, n) * 2.90268, n * bT) * -0.7701548"
12,4.55345e-6,"(n * -0.8031889) * (Lorentzian(1.1936929, bT) * expdecay(n * 0.5663171))"
14,3.7042792e-6,"n * ((Lorentzian(-2.0447857, n * bT) * -1.0630068) * expdecay(n * 0.32857215))"
16,3.5407543e-6,"((n * n) * (-0.98967844 * Lorentzian(1.9196488, n * bT))) * expdecay(n * 0.6210683)"
17,3.1389004e-6,"n * ((Lorentzian(-2.0649388, bT * n) * -1.297511) * expdecay(gaussian(expdecay(gaussian(n))) * n))"
18,2.514725e-6,"(expdecay(n * expdecay(gaussian(-0.016082227 * bT))) * (-1.69302 * n)) * Lorentzian(-2.9643881, bT * n)"
19,1.6818824e-6,"(n * (Lorentzian(2.7534347, bT * n) * -1.4127195)) * expdecay(n * Lorentzian(gaussian(bT * 0.03196784), 2.1170983))"
21,1.4069129e-6,"(Lorentzian(2.4606006, n * bT) * (expdecay(n * Lorentzian(gaussian(n * (bT * 0.0067109233)), 2.4606006)) * n)) * -1.1435776"
22,1.3110933e-6,"n * ((expdecay(n * expdecay(gaussian(-0.015199089 * bT))) * (expdecay(expdecay(n)) * Lorentzian(-2.581355, bT * n))) * -1.7374258)"
24,1.3028807e-6,"(n * expdecay(n * expdecay(gaussian(bT * -0.014998283)))) * ((Lorentzian(2.5098734, n * bT) * -1.7374321) * expdecay(expdecay(n * 0.8968009)))"
25,1.0663466e-6,"gaussian(gaussian(n)) * ((Lorentzian(2.4369388, n * bT) * n) * (expdecay(Lorentzian(gaussian(0.0065767616 * (n * bT)), 2.3609264) * n) * -1.209206))"
26,9.489791e-7,"((expdecay(n * Lorentzian(gaussian(bT * (n * 0.0065113883)), gaussian(Lorentzian(n, -0.012383094)) * 2.323936)) * n) * Lorentzian(-2.3696268, bT * n)) * -1.2392408"
27,9.3662464e-7,"n * ((expdecay(Lorentzian(gaussian((bT * n) * 0.006511401), gaussian(Lorentzian(n, expdecay(bT))) * 2.323936) * n) * -1.2392408) * Lorentzian(-2.3987849, bT * n))"
28,9.086817e-7,"expdecay(n * Lorentzian(gaussian((bT * n) * -0.006492285), gaussian(Lorentzian(n, bT * -0.0040899026)) * 2.3294556)) * ((Lorentzian(-2.362974, n * bT) * n) * -1.2392406)"
30,8.953451e-7,"(expdecay(Lorentzian(gaussian(n * (bT * 0.0071874307)), gaussian(Lorentzian(n, bT * -0.0040894714)) * 2.3294554) * n) * n) * (Lorentzian(-2.3653216, (n * 0.9143274) * bT) * -1.1839094)"
