Complexity,Loss,Equation
1,146.47781,"-0.0029247105"
4,141.48677,"expdecay(bT) * -0.32430723"
5,86.95495,"Lorentzian(bL, bT * -9.749773)"
6,85.40311,"Lorentzian(gaussian(n), bT) * -0.10582583"
7,83.44686,"Lorentzian(n * 0.17477229, bT) * -0.13122365"
8,75.94286,"Lorentzian(expdecay(n * -0.2598998), bT) * -0.31776384"
9,35.891277,"Lorentzian(Lorentzian(n, -0.100934006), n * bT) * -0.59948206"
11,23.94595,"Lorentzian(Lorentzian(-0.43800357, n) * -2.872281, n * bT) * -0.7688691"
12,13.543245,"(expdecay(n * 0.5662496) * (n * -0.80100983)) * Lorentzian(1.1893741, bT)"
14,8.686292,"(expdecay(n * 0.36014327) * -1.1989295) * Lorentzian(Lorentzian(-0.44826868, n) * 3.2737486, bT)"
17,8.510506,"(Lorentzian(Lorentzian(0.4515053, n) * 3.239522, bT) * expdecay(gaussian(gaussian(gaussian(n))) * n)) * -1.247282"
18,4.587796,"Lorentzian(Lorentzian(0.4971546, n) * 4.359432, bT) * (expdecay(n * gaussian(gaussian(bT * 0.010120663))) * -1.542393)"
19,4.5030446,"Lorentzian(Lorentzian(-0.5206283, n) * -4.5553656, bT) * (expdecay(n * (expdecay(bT * -0.008201348) * 0.34927413)) * -1.5458074)"
20,4.4918165,"Lorentzian(Lorentzian(0.50744545, n) * 4.6269298, bT) * (expdecay(gaussian(gaussian(Lorentzian(-7.330553, bT) * bT)) * n) * -1.6307371)"
21,2.3616436,"(expdecay(Lorentzian(n, 0.3152965)) * (Lorentzian(-2.6056354, bT) * -2.4531968)) * expdecay(n * (expdecay(expdecay(bT * 0.09076676)) * 0.5522694))"
23,2.0415378,"Lorentzian(Lorentzian(2.0179057, n) * 13.144309, bT) * ((expdecay(expdecay(expdecay(bT * 0.0142488945)) * n) * expdecay(Lorentzian(n, 0.35381252))) * -2.4261274)"
25,1.9677585,"(-2.3424823 * (expdecay(n * (expdecay(expdecay(0.016079184 * bT)) * 0.9526438)) * expdecay(Lorentzian(n, 0.34949243)))) * Lorentzian(Lorentzian(-2.3346784, n) * 16.044983, bT)"
27,1.7315952,"((Lorentzian(Lorentzian(2.63217, n) * 20.176105, bT) * -2.4098606) * expdecay(Lorentzian(n, 0.3414511))) * expdecay((n * expdecay(expdecay(bT * 0.047968257) * 0.6400178)) * 0.6122672)"
29,1.7118658,"(expdecay(Lorentzian(n, 0.30767757) * 0.90885174) * expdecay((n * expdecay(expdecay(bT * 0.049396936) * 0.6422304)) * 0.60270196)) * (Lorentzian(Lorentzian(2.6190965, n) * 20.176462, bT) * -2.3413563)"
