Complexity,Loss,Equation
1,146.47781,"-0.0029247312"
3,87.44581,"-0.102569796 / bsq"
5,86.10295,"(-0.113485545 / bsq) + 0.0008798883"
7,61.475216,"(n - 12.213265) * (0.018808445 / bsq)"
9,26.539434,"((0.60624284 ^ n) * (n / bsq)) * -0.43833312"
11,11.1569,"0.0016508781 - ((0.57217675 ^ n) * (n / (bsq + 2.33704)))"
13,5.786976,"0.0019357773 - (((0.75885236 ^ n) * n) / ((n * bsq) + 4.6176224))"
15,4.595953,"((-0.02781784 - ((0.7590914 ^ n) * n)) / ((n * bsq) + 4.8963423)) + 0.002137755"
17,3.6431289,"(0.00011747905 - (((0.71017337 ^ n) / ((n * (bsq ^ 1.2945229)) + 19.23354)) * 3.0420537)) * n"
19,2.4934235,"((-0.030053098 / bsq) - (0.57537943 ^ n)) * (n * ((n * -0.0027973286) + (1.1340181 / (bsq + 3.5941834))))"
23,2.0981693,"((-0.03394248 / (1.4222698 ^ bsq)) - (0.5722571 ^ n)) * (n * (((bsq * (n * -0.0029715141)) + 1.143669) / (bsq + 3.7015684)))"
25,1.6884177,"((n + 0.064591184) * ((((n * bsq) * -0.002825666) + 1.085483) * ((-0.036058985 / (1.4350232 ^ bsq)) - (0.5773494 ^ n)))) / (bsq + 3.7440991)"
27,1.6111968,"(((n + 0.06836643) * ((((n + bsq) * -0.0024114752) * n) + 1.0517322)) * ((-0.04398661 / (1.3654858 ^ bsq)) - (0.58364916 ^ n))) / (3.7477155 + bsq)"
29,1.4965608,"(((((n + bsq) * -0.0020182459) * (n - -2.103276)) + 1.1616738) * ((n / (bsq + 4.0057054)) - -0.0034097715)) * ((-0.04329243 / (1.3944823 ^ bsq)) - (0.5783333 ^ n))"
