Complexity,Loss,Equation
1,146.47781,"-0.002923391"
4,141.48677,"expdecay(bsq) * -0.32431328"
5,86.89254,"Lorentzian(bP, bsq * -10.004681)"
6,85.40311,"Lorentzian(gaussian(n), bsq) * -0.10582583"
7,83.44686,"Lorentzian(n * 0.17478716, bsq) * -0.13122568"
8,72.208374,"gaussian((bsq * -0.00884099) * n) * -0.021970492"
9,47.756462,"(Lorentzian(n, 23.269556) * -9.225226) * Lorentzian(-1.3249887, bsq)"
10,39.908413,"gaussian(n * -0.15662588) * (Lorentzian(1.4191035, bsq) * -0.4222852)"
11,21.34406,"(Lorentzian(Lorentzian(-1.5867428e-5, n), bsq) * Lorentzian(n, 11.877183)) * -5.878806"
12,13.543244,"((expdecay(n * 0.56627154) * -0.8013487) * n) * Lorentzian(1.1901733, bsq)"
13,10.395808,"Lorentzian(Lorentzian(-0.45287195, n) * 3.1669693, bsq) * (Lorentzian(n, 5.624251) * -5.5275955)"
15,10.371004,"(Lorentzian(n, 5.502766) * Lorentzian(Lorentzian(Lorentzian(n, 2.2795663), n) * 2.927613, bsq)) * -5.4802094"
16,5.071565,"Lorentzian(-3.8870819, bsq) * ((expdecay(n * expdecay(expdecay(bsq * 0.055894833))) * -2.1809397) * n)"
17,2.6053746,"(Lorentzian(3.044198, bsq) * (expdecay(n * expdecay(Lorentzian(-3.4855592, bsq) * 12.220412)) * n)) * -1.6357632"
18,2.4769213,"(expdecay(gaussian(expdecay(Lorentzian(4.8472104, bsq) * bsq)) * n) * (-1.4789033 * n)) * Lorentzian(-2.7989607, bsq)"
19,2.391167,"n * (expdecay((n * expdecay(Lorentzian(2.9573536, bsq) * 8.11727)) * 0.89047605) * (Lorentzian(-2.865228, bsq) * -1.503968))"
21,2.3437304,"n * (expdecay((gaussian(expdecay(bsq)) * expdecay(Lorentzian(-3.917813, bsq) * 14.29902)) * n) * (Lorentzian(2.9362648, bsq) * -1.5498598))"
22,2.122303,"((n * expdecay((n * expdecay(Lorentzian(-4.4907336, bsq) * 16.606773)) * expdecay(Lorentzian(bsq, 3.930079)))) * -1.5048465) * Lorentzian(-2.8763871, bsq)"
24,2.1194575,"(n * -1.5020313) * (Lorentzian(-2.8740704, bsq) * expdecay(expdecay(Lorentzian(-4.6003795, bsq) * 17.017887) * (n * expdecay(Lorentzian(bsq * -0.87609804, 3.8349876)))))"
26,1.94682,"(-1.4650463 * (n * Lorentzian(2.7315423, bsq))) * expdecay(n * expdecay((11.960941 * Lorentzian(-4.342965, bsq)) * Lorentzian(Lorentzian(n * expdecay(bsq), 2.6180375), 0.5929997)))"
27,1.5575368,"(expdecay(expdecay((Lorentzian(-0.33385974, Lorentzian(n * Lorentzian(bsq, 9.233436), 1.6549442)) * 13.375355) * Lorentzian(4.892404, bsq)) * n) * Lorentzian(-2.4780097, bsq)) * (n * -1.3717146)"
29,1.471324,"((n * expdecay(expdecay(Lorentzian(5.071137, bsq) * (Lorentzian(-0.35177168, Lorentzian(Lorentzian(bsq * 0.6572065, 9.239583) * n, 1.7326993)) * 13.379515)) * n)) * Lorentzian(-2.4192946, bsq)) * -1.37583"
