Complexity,Loss,Equation
1,146.47781,"-0.0029247105"
4,141.48677,"expdecay(bsq) * -0.32431245"
5,87.36181,"Lorentzian(0.29441014, bsq) * -0.10542072"
6,85.40311,"Lorentzian(gaussian(n), bsq) * -0.10582583"
7,83.44685,"Lorentzian(n * -0.174796, bsq) * -0.13122776"
9,67.69848,"Lorentzian(-2.203182, n) * (Lorentzian(1.0280167, bsq) * -1.4639977)"
10,39.908382,"(Lorentzian(1.4173263, bsq) * gaussian(n * -0.15657696)) * -0.42170444"
11,26.506153,"(Lorentzian(0.9568353, bsq) * -0.90299505) * Lorentzian(Lorentzian(n, -0.15839407), n)"
12,13.543245,"(n * (expdecay(n * 0.5662813) * -0.8012903)) * Lorentzian(1.189793, bsq)"
15,12.595845,"(n * (expdecay(n * 0.55070204) * -0.6604476)) * Lorentzian(gaussian(bsq * -0.17813616), bsq)"
16,9.208707,"Lorentzian(Lorentzian(n * -0.16570933, 0.5405341), bsq) * ((expdecay(n * 0.6266878) * -1.0270715) * n)"
17,8.553421,"(expdecay(n * 0.4793095) * Lorentzian(expdecay((n * -0.009187806) * bsq), bsq)) * (n * -0.64073426)"
19,5.2930293,"expdecay((n * 0.0077211494) * bsq) * ((expdecay(n * 0.48406798) * n) * (Lorentzian(-2.1611912, bsq) * -1.3024511))"
21,3.725965,"expdecay(n * 0.43063417) * ((Lorentzian(-2.6290288, bsq) * -1.4155263) * (n * expdecay((n * Lorentzian(-8.412502, bsq)) * bsq)))"
23,2.5581698,"n * ((Lorentzian(2.6849065, bsq) * -1.4061992) * (expdecay(n * 0.38065484) * expdecay(Lorentzian(-5.6205497, bsq * 1.9425534) * (bsq * n))))"
28,2.4526925,"(expdecay(n * 0.34454823) * -2.393057) * ((n * expdecay(bsq * (n * Lorentzian(-5.0842657, 1.8551108 * bsq)))) * Lorentzian(-3.641469, expdecay(-0.015469046) * (bsq * 1.5757781)))"
30,2.3737583,"((expdecay(n * 0.34454823) * -2.393057) * n) * (expdecay((n * bsq) * Lorentzian(-5.0842657, 1.8551108 * bsq)) * Lorentzian(-3.641469, expdecay(n * -0.015469046) * (bsq * 1.5757781)))"
