Complexity,Loss,Equation
1,145.41235,"0.13666837"
5,144.53128,"(bL * -0.0023272585) + 0.1374651"
7,68.45895,"-2.8221543 / (-9.563522 - (bL * bL))"
9,63.277065,"(-8.023175 / (-19.96235 - (bL * bL))) + -0.110727444"
13,7.7617903,"-3.0447252 / (((bT / -1.9832233) * bT) - ((bL * bL) - -4.4936566))"
15,1.5358582,"(-6.9037194 / ((bT * (bT * -0.5733916)) - ((bL * bL) - -10.050853))) + -0.096048206"
17,0.9666382,"(-7.014588 / ((bT * ((bT - -0.4167135) * -0.5753877)) - ((bL * bL) - -10.202722))) + -0.09801216"
21,0.9642157,"(-6.8731394 / (0.7910053 - ((bL * bL) - (-10.779101 - (bT * (bT * 0.5733183)))))) + (-0.09556563 - (bT * 0.001495483))"
23,0.8287307,"((-6.8872414 / (0.779666 - ((bL * bL) - (-10.794288 - ((bT - -0.20219623) * (bT * 0.5716441)))))) + (bT * -0.0015004054)) - 0.095921345"
25,0.82871246,"((-0.10642273 - (bT * 0.0014980847)) + (-6.902447 / (0.77303463 - ((bL * bL) - (-10.809962 - ((bT * (bT - -0.20271948)) * 0.57199717)))))) + 0.0102544185"
27,0.7791438,"(-6.92628 / (((-0.7270196 - (-5.846534 / ((bL * bL) - -9.69972))) * bT) - (((bL * bL) - -10.064523) - ((bT * bT) * -0.5726609)))) + -0.09698929"
29,0.77216524,"(-6.8745084 / (((-0.7288353 - (-5.958333 / ((bL * bL) - -9.794963))) * (bT - 0.87038195)) - (((bL * bL) - -10.138766) - ((bT * bT) * -0.56538963)))) + -0.097901836"
