Complexity,Loss,Equation
1,16.563559,"-0.0011057754"
4,15.655592,"expdecay(n) * -1.3261896"
5,13.412526,"Lorentzian(bT, 0.7975736) * -0.018217128"
7,7.1847534,"Lorentzian(bT, bL * bL) * -0.052232467"
9,5.5890465,"(Lorentzian(bL, n) * -0.46811664) * Lorentzian(bT, 0.82844985)"
10,3.3901732,"Lorentzian(bT * n, Lorentzian(0.01760982, gaussian(bL))) * -3.212293"
11,2.811174,"(Lorentzian(bL, 3.1466248) * -14.58239) * Lorentzian(bT * n, 19.250593)"
13,2.45363,"Lorentzian(bL, n * 0.47249672) * (Lorentzian(n * bT, 25.361208) * -16.403004)"
14,1.9116343,"Lorentzian(bT * n, Lorentzian(-0.06815869, gaussian(bL))) * (Lorentzian(bL, n) * -29.41669)"
15,1.7301345,"(Lorentzian(bL, n) * -30.770279) * Lorentzian(n * bT, (bL * bL) * 13.194008)"
16,1.6260232,"(Lorentzian(bL, n) * Lorentzian(n * bT, Lorentzian(Lorentzian(bL, 3.13525), expdecay(n)))) * -31.52978"
18,1.3817958,"((gaussian(n * 0.15151933) * Lorentzian(bT, Lorentzian(Lorentzian(0.0075205876, bL), -0.020939423))) * Lorentzian(bT, 19.82472)) * -8.1652355"
20,1.1544546,"(Lorentzian(bT, 11.195123) * gaussian(n * -0.15407339)) * (Lorentzian(bT, Lorentzian(Lorentzian(bL * -0.58196, 1.0507176), 0.0002617624)) * -7.074013)"
21,1.1367048,"Lorentzian(bT, 11.198317) * (Lorentzian(bT, Lorentzian(Lorentzian(bL * -0.59027493, 1.048383), expdecay(n))) * (gaussian(n * -0.15364452) * -7.078969))"
22,0.926802,"(Lorentzian(bT * (n * expdecay(Lorentzian(n * -0.06563142, 0.18622665))), n) * -0.9078778) * Lorentzian(bT, Lorentzian(Lorentzian(1.0890231e-12, bL), -0.021143502))"
23,0.8484654,"(Lorentzian(bT, Lorentzian(Lorentzian(-0.00076492614, bL), -0.020616861)) * Lorentzian((expdecay(Lorentzian(gaussian(bT), n * 0.06098632)) * bT) * n, n)) * -0.9979664"
24,0.6856277,"Lorentzian((n * bT) * expdecay(Lorentzian(bL * 0.09525465, n * 0.0584872)), n) * (Lorentzian(bT, Lorentzian(0.0051516923, Lorentzian(bL, 0.6440625))) * -1.0996683)"
25,0.6854378,"Lorentzian((expdecay(Lorentzian(bL * 0.09525465, n * 0.0584872)) * bT) * n, n) * (Lorentzian(bT, Lorentzian(expdecay(n), Lorentzian(bL, 0.6440625))) * -1.0996683)"
26,0.62639815,"Lorentzian(bT, Lorentzian(1.9471877e-29, Lorentzian(bL, 0.62817466))) * (Lorentzian(n * (expdecay(Lorentzian(n * (bL * 0.014354518), n * 0.057593845)) * bT), n) * -1.0933496)"
27,0.6242002,"(Lorentzian(bT * (n * expdecay(Lorentzian(bL * -0.07463115, n * 0.06307831))), n) * -1.33315) * Lorentzian(bT, Lorentzian(-0.0037657893, Lorentzian(bL * 1.2494637, gaussian(bL))))"
28,0.6172213,"Lorentzian(bT * (n * expdecay(Lorentzian((bL * n) * 0.013383859, n * 0.060053248))), n) * (Lorentzian(bT, Lorentzian(0.00013105074, Lorentzian(bL, 0.6329263)) * 1.1578921) * -1.2050155)"
29,0.5937686,"Lorentzian(bT, Lorentzian(-0.00028735056, Lorentzian(bL * 1.1912647, gaussian(bL)))) * (Lorentzian(expdecay(Lorentzian((bL * n) * 0.012102171, n * 0.0608697)) * (n * bT), n) * -1.2421416)"
30,0.59376293,"Lorentzian(expdecay(Lorentzian(bL * (n * 0.012102171), n * 0.0608697)) * (bT * n), n) * (-1.2411625 * Lorentzian(bT, Lorentzian(gaussian(n), Lorentzian(1.1912647 * bL, gaussian(bL)))))"
