Complexity,Loss,Equation
1,3123.7703,"0.01142782"
3,2942.8347,"Lorentzian(bL, 57.535603)"
4,2667.5488,"gaussian(bT) * 0.12066749"
5,1697.5211,"gaussian(bT) * gaussian(bL)"
6,1156.9171,"gaussian(bT) * Lorentzian(bL, 1.4813908)"
7,584.4148,"Lorentzian(bT, bL * bL) * 0.24842331"
9,559.19116,"Lorentzian(bT * -2.1017656, Lorentzian(Lorentzian(bL, 0.45647228), 0.004105998))"
10,200.69122,"Lorentzian(bT, bL * bL) * gaussian(n * -0.14279057)"
12,166.15332,"(Lorentzian(bT, bL * bL) * 2.017439) * expdecay(n * 0.25386626)"
13,138.43587,"Lorentzian(n * bT, Lorentzian(Lorentzian(0.12704562, bL * n), -0.000302239)) * 16.994488"
14,133.22986,"Lorentzian(bT * n, Lorentzian(Lorentzian(gaussian(bL), n * bL), -0.0002902263)) * 16.996595"
15,111.82082,"Lorentzian(bT * n, Lorentzian(Lorentzian(-0.0027223509, n * bL), -0.00028988204) * 0.7489156) * 15.3271055"
16,110.7554,"Lorentzian(n * bT, 0.7490116 * Lorentzian(Lorentzian(gaussian(bL), n * bL), -0.00028988204)) * 15.3271055"
17,98.1847,"Lorentzian(bT * n, Lorentzian(Lorentzian(0.00496393, n * bL), -0.00028988204) * expdecay(gaussian(bT))) * 15.3271055"
18,97.266174,"15.3271055 * Lorentzian(bT * n, expdecay(gaussian(bT)) * Lorentzian(Lorentzian(gaussian(bL), bL * n), -0.00028988204))"
19,96.7462,"Lorentzian((bT * n) * 0.25301772, Lorentzian(Lorentzian(bL, 1.0403509), Lorentzian(((bL * n) * 0.044964466) * n, 0.37198988)))"
20,69.71371,"(Lorentzian(bT * n, Lorentzian(-0.062446028, Lorentzian(n * bL, 14.231658))) * 19.08906) * gaussian(n * (bL * 0.042612847))"
21,65.68172,"Lorentzian((bT * 0.23566738) * n, Lorentzian(Lorentzian(bT * bL, 1.297559), Lorentzian((n * (bL * 0.041930195)) * n, 1.0712929)))"
22,60.295086,"(26.991245 * Lorentzian((n * bT) * 1.230891, Lorentzian(-0.029178908, Lorentzian(n * bL, 17.132408)))) * gaussian((n * bL) * -0.03684364)"
23,58.608974,"Lorentzian(bT * ((n * (n * 0.014487847)) * bT), Lorentzian(Lorentzian(bL, 2.48339), Lorentzian((n * bL) * (n * 0.039095707), 4.8957634)))"
25,42.95938,"Lorentzian((bT * (bT * 0.013098186)) * (n * n), Lorentzian(Lorentzian(bT * bL, 2.660601), Lorentzian(bL * (n * (n * 0.03741195)), 4.97128)))"
27,27.207726,"Lorentzian(bT * ((n * 0.010397455) * (bT * n)), Lorentzian(Lorentzian(bL, 2.4399269) * Lorentzian(bT, -0.027395464), Lorentzian((bL * n) * (n * -0.03844233), n)))"
29,25.548222,"Lorentzian((((bT * n) * n) * bT) * -0.010815938, Lorentzian(Lorentzian(bL, 2.5683444) * Lorentzian(bT, -0.04186159), Lorentzian(bL * ((n * n) * 0.03884367), n * 0.88304526)))"
