Complexity,Loss,Equation
1,3123.7703,"0.011429942"
3,2977.8896,"Lorentzian(n, 12.639206)"
4,2667.5488,"gaussian(bT) * 0.12066793"
5,1697.5211,"gaussian(bT) * gaussian(bL)"
6,1156.9172,"Lorentzian(bL, 1.4814786) * gaussian(bT)"
7,584.4148,"Lorentzian(bT, bL * bL) * 0.24842143"
9,532.863,"Lorentzian(bL, n * 0.30231267) * Lorentzian(bT, 1.2502283)"
11,267.81204,"Lorentzian((bT * -0.26451427) * n, Lorentzian(Lorentzian(bL, 0.2875256), 0.0053161513))"
12,265.38373,"Lorentzian((bT * -0.2630542) * n, Lorentzian(Lorentzian(bL, gaussian(bT)), 0.0056421417))"
13,207.63634,"Lorentzian((n * 0.25465262) * bT, n * ((bL * bL) * 0.4196648))"
14,194.76859,"Lorentzian(bT * (n * 0.2526325), (bL * bL) * expdecay(n * -0.15631175))"
16,156.4115,"Lorentzian((n * bT) * 0.25368416, bL * (Lorentzian(-0.17613155, gaussian(n * -0.1451812)) * bL))"
17,110.92053,"Lorentzian(n * (bT * 0.24885508), (bL * Lorentzian(gaussian(bT), gaussian(n * -0.16542284))) * bL)"
18,101.78114,"Lorentzian((bT * 0.25973907) * n, (bL * Lorentzian(Lorentzian(bL, 1.103987), gaussian(n * -0.1538255))) * bL)"
20,91.92626,"Lorentzian(n * (bT * 0.26240993), bL * (Lorentzian(Lorentzian(bL, 1.5509632), gaussian(n * -0.18719001)) * (bL * 0.5583944)))"
22,88.03674,"Lorentzian(n * (bT * 0.2593024), ((bL * bL) * 0.5879943) * Lorentzian(Lorentzian(bL * bT, 1.6077646), gaussian(n * -0.18247)))"
24,79.52955,"Lorentzian(bT * (n * -0.2571939), ((Lorentzian(Lorentzian(bL * bT, Lorentzian(bL, -0.5303856)), gaussian(n * -0.19201177)) * bL) * bL) * 0.52866155)"
26,75.619064,"Lorentzian((bT * -0.2568324) * n, (Lorentzian(Lorentzian(bT * bL, Lorentzian(bL, -0.91497964) * 0.15403363), gaussian(n * -0.19611466)) * 0.5224596) * (bL * bL))"
28,66.17531,"Lorentzian(bT * (n * -0.25645116), Lorentzian(Lorentzian(bT * bL, Lorentzian((n * 0.10629961) * bL, -0.25530094)), gaussian(n * -0.19729175)) * ((bL * bL) * 0.48766452))"
