Complexity,Loss,Equation
1,3123.7703,"0.01142944"
3,2955.0574,"n ^ -2.1330264"
4,2549.0962,"gaussian(bT) / n"
5,1697.5211,"gaussian(bL) * gaussian(bT)"
7,1320.5105,"(gaussian(bL) * gaussian(bT)) - -0.008503448"
9,690.28564,"((gaussian(bT) * gaussian(bL)) ^ 0.33792326) * 0.2932365"
10,411.99524,"((gaussian(bL) * gaussian(bT)) / exp(n)) ^ 0.20702897"
12,337.78897,"(((gaussian(bL) / exp(n)) * gaussian(bT)) ^ 0.271698) * 2.1848688"
14,266.10056,"(((gaussian(bT) * (gaussian(bL) / exp(n))) ^ 0.29511523) - -0.0015416351) * 2.6818879"
15,211.84856,"(gaussian((bL * 0.06640577) * n) / 3.559944) * gaussian((n * bT) * 0.07040994)"
17,139.04913,"(gaussian((bT * 0.07516648) * n) * (gaussian(bL * (n * -0.071177006)) / 3.277071)) + 0.0042695664"
19,124.3976,"(0.03851572 / n) + ((gaussian((bL * n) * -0.07223194) / 3.2177434) * gaussian((bT * n) * -0.07600683))"
20,111.528534,"(gaussian((bT * -0.07651146) * n) * (gaussian((bL * n) * -0.06440845) / (3.888216 - gaussian(bL)))) + 0.0040705884"
22,109.28612,"((gaussian((bL * (0.9746538 - n)) * -0.07328037) * gaussian((n * bT) * -0.07591906)) / (3.9447842 - gaussian(bL))) + 0.0039716624"
24,97.185936,"(0.74057144 / (n / 0.049423236)) + ((gaussian((-0.07681717 * bT) * n) / (3.903832 - gaussian(bL))) * gaussian(bL * (-0.0648901 * n)))"
26,94.90008,"((0.8705857 / (n / 0.05392138)) + ((gaussian((bL * n) * -0.06267968) * gaussian((bT * n) * -0.076712765)) / (3.180947 - gaussian(bL)))) * 0.7714499"
27,84.76357,"((gaussian((bT * n) * -0.0790289) / (3.8248074 - gaussian(bL))) * gaussian((bL * n) * -0.06605257)) + (gaussian(bL * -0.15499443) / (n / 0.05700528))"
29,82.454666,"(gaussian(bL * 0.16056453) / (n / 0.056088082)) + (((gaussian((bT * n) * -0.07915599) * gaussian(bL * (n * -0.063571334))) / (3.0723722 - gaussian(bL))) * 0.7535971)"
