Complexity,Loss,Equation
1,5000.225,"0.010414927"
2,3021.363,"expdecay(bsq)"
3,1213.5283,"Lorentzian(bsq, 2.8532512)"
5,832.55914,"Lorentzian(bsq, n) * 1.8315125"
7,382.1069,"Lorentzian((bsq * 0.0944179) * n, 3.7164583)"
9,175.719,"Lorentzian(((bsq * -0.011722901) * n) * n, 3.8784513)"
11,137.95569,"Lorentzian(n * ((n * Lorentzian(-9.235178, bsq)) * bsq), 3.888752)"
13,71.15339,"Lorentzian((n * n) * ((Lorentzian(-6.2079496, bsq) * 0.54066527) * bsq), 3.3932595)"
15,66.450874,"Lorentzian(((n * 3.6001198) * Lorentzian(-15.816762, n * bsq)) * (bsq * n), 3.2898815)"
19,40.448578,"Lorentzian(((bsq * 1.7689599) * (n * n)) * Lorentzian(-15.10693, (Lorentzian(bsq, n) * -588.4001) * bsq), 3.3468616)"
21,39.308327,"Lorentzian((n * ((Lorentzian(-15.802144, Lorentzian(bsq * 0.944255, n) * (bsq * -603.6629)) * n) * bsq)) * 1.9120067, 3.419587)"
23,39.3082,"Lorentzian((Lorentzian(-14.716966, (Lorentzian(bsq * 1.0133963, n * 1.1530861) * -603.676) * bsq) * 1.6576823) * ((n * n) * bsq), 3.420123)"
24,33.132114,"Lorentzian(n * (n * (Lorentzian(-16.33081, (Lorentzian(expdecay(Lorentzian(bP, n)) * bsq, n) * bsq) * -587.0539) * (2.0661016 * bsq))), 3.4603856)"
26,33.106117,"Lorentzian((Lorentzian(-16.246626, Lorentzian(bsq * expdecay(Lorentzian(bP, n * 1.0521417)), n) * (bsq * -586.43555)) * (n * -2.0420756)) * (n * bsq), 3.4540665)"
27,32.91036,"Lorentzian(((n * Lorentzian(-16.33081, Lorentzian(expdecay(Lorentzian(bP, n)) * (-1.0172445 * bsq), n) * (bsq * -587.0539))) * expdecay(-0.7333698)) * (bsq * n), 3.4603856)"
